case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:17:866,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:11:40:246,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:57:10:313,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:40:30:377,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:58:15:723,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:57:59:235,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:56:27:340,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:49:49:714,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:44:31:200,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:28:45:651,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:04:49:378,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:27:866,Johnny,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,2,Activity C,2020-06-27 15:32:57:409,Roseanne,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,3,Activity D,2020-06-27 16:29:40:868,Alpha,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,4,Activity E,2020-06-27 17:04:43:744,Josef,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,5,Activity H,2020-06-27 17:52:51:247,Josef,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,6,Activity F,2020-06-27 18:41:53:231,Brian,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,7,Activity I,2020-06-27 19:37:24:696,Ling,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,8,Activity O,2020-06-27 20:19:54:536,Rossana,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,9,Activity F,2020-06-27 21:05:53:107,Brian,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,10,Activity I,2020-06-27 22:00:18:738,Ling,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,11,Activity O,2020-06-27 22:37:49:474,Rossana,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,12,Activity P,2020-06-27 23:34:11:328,Wilton,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,13,Activity J,2020-06-28 00:19:15:636,Sherlene,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,14,Activity B,2020-06-28 00:36:46:922,Sherell,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,15,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:37:866,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity AC', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brant'}}, {'name': 'Activity AG', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Chan'}}]}"
