case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:11:698,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:33:19:506,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:18:27:534,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:53:19:502,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:44:20:459,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:33:08:759,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:32:53:483,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 20:22:47:305,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:21:698,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:02:48:960,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:57:54:910,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:30:37:599,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:21:06:944,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:18:58:183,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:08:39:440,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:31:698,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:22:25:811,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:16:43:198,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:41:698,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:58:10:131,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:54:32:638,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:48:53:844,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:17:07:318,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:02:10:371,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:50:49:300,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:32:47:649,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:51:698,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:24:49:250,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:13:12:476,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:47:19:070,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:05:46:808,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:04:54:700,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:55:41:694,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:26:59:231,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:01:698,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:12:26:164,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:05:27:076,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:43:00:288,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:13:00:893,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:05:39:761,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:40:12:625,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:11:698,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:08:31:666,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:57:38:390,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:28:24:793,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:18:18:062,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:07:25:899,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:44:21:531,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:21:698,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:35:15:897,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:27:21:663,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:31:698,Keven,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,2,Activity O,2020-06-27 15:12:29:871,Ronald,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,3,Activity U,2020-06-27 16:08:47:105,Pam,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,4,Activity X,2020-06-27 17:05:06:289,Maryellen,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,5,Activity V,2020-06-27 18:04:14:900,Gema,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,6,Activity P,2020-06-27 19:03:07:942,Ryan,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,7,Activity B,2020-06-27 19:47:01:213,Alpha,normal,anomalous,"{'index': [2, 3, 4], 'attribute_index': [0, 0, 0], 'attribute': ['user', 'user', 'user'], 'original': ['Velda', 'Pam', 'Maryellen']}"
9,8,■,,,,,""
10,0,▶,,,,,""
