case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:50:933,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:24:30:295,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:22:04:959,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:18:05:566,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:38:35:854,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:38:16:537,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:13:57:650,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 18:29:15:618,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:07:00:933,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:52:59:819,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:46:35:670,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:35:01:905,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 16:58:41:444,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:53:32:503,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:48:51:374,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:10:933,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:44:04:046,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:43:37:793,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:20:933,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:33:05:884,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:29:15:566,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:18:33:281,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:53:33:379,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:46:06:000,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:44:38:149,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:32:43:747,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:30:933,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:00:29:662,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:54:33:538,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:37:06:180,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:33:18:573,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:21:08:991,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:17:10:656,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:41:44:190,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:40:933,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:01:59:264,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:54:06:927,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:30:10:895,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 16:48:21:429,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:35:59:376,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:25:21:245,Maryellen,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:50:933,Rossana,normal,normal,"-"
