case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:18:925,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:10:43:036,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:00:04:844,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:45:52:025,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:31:11:378,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:24:31:971,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:11:02:958,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:36:47:673,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:28:925,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:08:22:872,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:55:58:846,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:47:40:417,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:22:45:964,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:17:24:868,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:58:50:290,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:38:925,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:28:46:110,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:17:36:926,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:48:925,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:59:37:155,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:46:54:420,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:31:02:706,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:53:07:210,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:46:14:404,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:34:05:910,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:18:34:243,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:58:925,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:16:54:101,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:14:26:793,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 17:00:13:795,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:42:24:218,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:38:02:596,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:17:36:979,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:56:36:646,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:08:925,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:51:29:528,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:43:24:205,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:21:09:398,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 16:59:25:494,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:46:44:617,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:37:33:999,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:18:925,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:52:35:050,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:38:03:665,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:36:21:838,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:23:59:522,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:11:00:618,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:47:37:351,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:28:925,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:31:31:653,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:26:42:589,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:38:925,Keven,normal,anomalous,"-"
9,2,Activity O,2020-06-27 15:13:07:628,Ronald,normal,anomalous,"-"
9,3,Random activity 9,2020-06-27 16:09:45:082,Random user 49,normal,anomalous,"-"
9,4,Activity U,2020-06-27 16:49:53:803,Velda,normal,anomalous,"-"
9,5,Activity X,2020-06-27 17:28:02:435,Pam,normal,anomalous,"-"
9,6,Activity V,2020-06-27 18:19:11:368,Maryellen,normal,anomalous,"-"
9,7,Activity P,2020-06-27 19:11:41:009,Ryan,normal,anomalous,"-"
9,8,Activity B,2020-06-27 19:58:49:588,Alpha,normal,anomalous,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:36:48:925,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 14:55:17:974,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 15:49:25:200,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:36:58:925,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 15:11:49:860,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 16:07:21:471,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 16:58:15:572,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 17:15:57:292,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 18:07:23:585,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 18:57:06:619,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 19:15:05:146,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:37:08:925,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 15:25:52:690,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 16:24:29:515,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 17:06:23:560,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 18:04:54:463,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 18:51:23:546,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 19:23:25:819,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 20:16:41:230,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Random activity 15,2020-06-27 14:37:18:925,Random user 25,normal,anomalous,"{'indices': [0, 5]}"
13,2,Activity A,2020-06-27 15:08:40:051,Rossana,normal,anomalous,"{'indices': [0, 5]}"
13,3,Activity O,2020-06-27 15:54:34:526,Melany,normal,anomalous,"{'indices': [0, 5]}"
13,4,Activity S,2020-06-27 16:43:41:938,Doretta,normal,anomalous,"{'indices': [0, 5]}"
13,5,Activity T,2020-06-27 17:31:59:239,Velda,normal,anomalous,"{'indices': [0, 5]}"
13,6,Random activity 10,2020-06-27 18:30:16:901,Random user 67,normal,anomalous,"{'indices': [0, 5]}"
13,7,Activity P,2020-06-27 19:18:47:066,Jin,normal,anomalous,"{'indices': [0, 5]}"
13,8,Activity B,2020-06-27 20:03:59:734,Sherell,normal,anomalous,"{'indices': [0, 5]}"
13,9,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:37:28:925,Micheline,normal,normal,"-"
14,2,Activity Y,2020-06-27 15:35:58:954,Ling,normal,normal,"-"
14,3,Activity B,2020-06-27 16:26:17:744,Michaele,normal,normal,"-"
14,4,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:37:38:925,Doretta,normal,normal,"-"
15,2,Activity C,2020-06-27 14:59:37:178,Maryellen,normal,normal,"-"
15,3,Activity G,2020-06-27 15:45:08:617,Steve,normal,normal,"-"
15,4,Activity D,2020-06-27 16:40:41:333,Emily,normal,normal,"-"
15,5,Activity I,2020-06-27 17:26:49:678,Iluminada,normal,normal,"-"
15,6,Activity K,2020-06-27 18:23:57:146,Velda,normal,normal,"-"
15,7,Activity J,2020-06-27 18:58:44:017,Jamika,normal,normal,"-"
15,8,Activity B,2020-06-27 19:20:28:364,Michaele,normal,normal,"-"
15,9,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:37:48:925,Steve,normal,anomalous,"{'indices': [3, 7]}"
16,2,Activity C,2020-06-27 15:36:57:022,Keven,normal,anomalous,"{'indices': [3, 7]}"
16,3,Activity G,2020-06-27 16:22:00:721,Steve,normal,anomalous,"{'indices': [3, 7]}"
16,4,Random activity 13,2020-06-27 17:03:49:348,Random user 45,normal,anomalous,"{'indices': [3, 7]}"
16,5,Activity D,2020-06-27 17:35:37:144,Deloras,normal,anomalous,"{'indices': [3, 7]}"
16,6,Activity I,2020-06-27 18:30:08:811,Keven,normal,anomalous,"{'indices': [3, 7]}"
16,7,Activity L,2020-06-27 19:30:08:056,Keven,normal,anomalous,"{'indices': [3, 7]}"
16,8,Random activity 6,2020-06-27 20:28:15:002,Random user 42,normal,anomalous,"{'indices': [3, 7]}"
16,9,Activity J,2020-06-27 21:17:54:068,Gema,normal,anomalous,"{'indices': [3, 7]}"
16,10,Activity B,2020-06-27 22:04:40:746,Carmella,normal,anomalous,"{'indices': [3, 7]}"
16,11,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:37:58:925,Keven,normal,normal,"-"
17,2,Activity O,2020-06-27 15:18:04:757,Melany,normal,normal,"-"
17,3,Activity S,2020-06-27 16:11:54:589,Doretta,normal,normal,"-"
17,4,Activity T,2020-06-27 16:48:25:140,Velda,normal,normal,"-"
17,5,Activity P,2020-06-27 17:12:40:038,Seth,normal,normal,"-"
17,6,Activity B,2020-06-27 18:07:37:077,Sherlene,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:38:08:925,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 15:32:38:634,Della,normal,normal,"-"
18,3,Activity G,2020-06-27 16:21:01:799,Steve,normal,normal,"-"
18,4,Activity D,2020-06-27 17:19:28:840,Emily,normal,normal,"-"
18,5,Activity I,2020-06-27 18:13:38:907,Melany,normal,normal,"-"
18,6,Activity K,2020-06-27 18:59:00:494,Issac,normal,normal,"-"
18,7,Activity J,2020-06-27 19:30:20:451,Brian,normal,normal,"-"
18,8,Activity B,2020-06-27 20:27:49:061,Michaele,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 14:38:18:925,Amanda,normal,normal,"-"
19,2,Activity C,2020-06-27 15:10:09:677,Pam,normal,normal,"-"
19,3,Activity G,2020-06-27 15:57:06:529,Amanda,normal,normal,"-"
19,4,Activity D,2020-06-27 16:45:13:041,Emily,normal,normal,"-"
19,5,Activity I,2020-06-27 17:34:08:786,Melany,normal,normal,"-"
19,6,Activity K,2020-06-27 18:33:31:442,Issac,normal,normal,"-"
19,7,Activity J,2020-06-27 19:08:19:747,Craig,normal,normal,"-"
19,8,Activity B,2020-06-27 19:36:35:004,Carmella,normal,normal,"-"
19,9,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 14:38:28:925,Amanda,normal,normal,"-"
20,2,Activity C,2020-06-27 15:24:53:646,Jack,normal,normal,"-"
20,3,Activity F,2020-06-27 16:23:41:471,Howard,normal,normal,"-"
20,4,Activity D,2020-06-27 17:15:48:383,Keven,normal,normal,"-"
20,5,Activity I,2020-06-27 18:11:58:514,Maryellen,normal,normal,"-"
20,6,Activity K,2020-06-27 19:08:56:018,Velda,normal,normal,"-"
20,7,Activity J,2020-06-27 20:01:44:802,Jamika,normal,normal,"-"
20,8,Activity B,2020-06-27 20:39:51:640,Michaele,normal,normal,"-"
20,9,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 14:38:38:925,Micheline,normal,normal,"-"
21,2,Activity Y,2020-06-27 15:05:39:688,Johnny,normal,normal,"-"
21,3,Activity B,2020-06-27 16:04:19:997,Michaele,normal,normal,"-"
21,4,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 14:38:48:925,Steve,normal,anomalous,"{'indices': [1, 6]}"
22,2,Random activity 19,2020-06-27 15:02:35:338,Random user 66,normal,anomalous,"{'indices': [1, 6]}"
22,3,Activity C,2020-06-27 15:57:53:942,Lisa,normal,anomalous,"{'indices': [1, 6]}"
22,4,Activity E,2020-06-27 16:47:26:749,Donald,normal,anomalous,"{'indices': [1, 6]}"
22,5,Activity D,2020-06-27 17:17:20:662,Keven,normal,anomalous,"{'indices': [1, 6]}"
22,6,Activity I,2020-06-27 18:05:26:825,Maryellen,normal,anomalous,"{'indices': [1, 6]}"
22,7,Random activity 19,2020-06-27 18:56:17:807,Random user 66,normal,anomalous,"{'indices': [1, 6]}"
22,8,Activity K,2020-06-27 19:40:32:151,Issac,normal,anomalous,"{'indices': [1, 6]}"
22,9,Activity J,2020-06-27 20:32:08:666,Frances,normal,anomalous,"{'indices': [1, 6]}"
22,10,Activity B,2020-06-27 21:13:13:399,Michaele,normal,anomalous,"{'indices': [1, 6]}"
22,11,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 14:38:58:925,Doretta,normal,anomalous,"-"
23,2,Activity C,2020-06-27 15:32:13:506,Keven,normal,anomalous,"-"
23,3,Activity G,2020-06-27 16:18:40:610,Steve,normal,anomalous,"-"
23,4,Activity D,2020-06-27 17:12:03:705,Emily,normal,anomalous,"-"
23,5,Activity I,2020-06-27 17:29:30:080,Tiffiny,normal,anomalous,"-"
23,6,Activity L,2020-06-27 18:24:09:415,Shandi,normal,anomalous,"-"
23,7,Random activity 12,2020-06-27 19:06:19:033,Random user 16,normal,anomalous,"-"
23,8,Activity J,2020-06-27 19:38:18:552,Micheline,normal,anomalous,"-"
23,9,Activity B,2020-06-27 20:34:06:752,Michaele,normal,anomalous,"-"
23,10,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 14:39:08:925,Shandi,normal,normal,"-"
24,2,Activity Y,2020-06-27 15:38:22:465,Johnny,normal,normal,"-"
24,3,Activity B,2020-06-27 16:24:24:587,Michaele,normal,normal,"-"
24,4,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 14:39:18:925,Keven,normal,normal,"-"
25,2,Activity O,2020-06-27 15:13:21:940,Brian,normal,normal,"-"
