case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:52:468,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:28:02:908,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:23:27:426,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:11:00:980,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:36:16:683,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:24:26:662,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:24:10:744,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:14:56:570,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:07:02:468,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:53:33:910,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:43:42:034,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:41:04:749,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:32:37:313,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:22:50:256,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:03:18:809,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:12:468,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:30:23:312,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:24:47:623,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:22:468,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:49:21:064,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:47:25:963,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:40:14:181,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:12:22:093,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:06:56:168,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:47:09:300,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:13:19:456,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:32:468,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:29:04:219,Della,normal,normal,"-"
