case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:39:090,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:51:25:561,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:36:33:994,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:34:57:101,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:19:50:843,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:17:37:677,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:47:39:243,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:04:13:559,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:49:090,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:55:00:216,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:42:55:711,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:37:31:986,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:11:46:382,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:58:32:210,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:50:11:052,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:06:59:090,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:51:37:373,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:50:03:039,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:09:090,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:50:12:986,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:45:17:204,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:28:47:378,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:21:30:111,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:12:10:554,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:47:58:186,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:10:19:562,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:19:090,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:24:04:218,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:16:30:361,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:00:45:783,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:53:33:684,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:40:24:134,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:22:46:115,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:17:55:761,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:29:090,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:39:50:661,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:25:41:421,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:07:22:750,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 16:32:14:162,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 17:25:16:922,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:01:49:301,Maryellen,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:39:090,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 14:32:35:901,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:29:00:489,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:23:17:209,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 16:52:12:635,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 17:41:16:181,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 18:20:09:402,Alpha,normal,normal,"-"
7,8,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:49:090,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:33:48:833,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:30:57:773,Michaele,normal,normal,"-"
8,4,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity O,2020-06-27 14:07:59:090,Ronald,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,2,Activity A,2020-06-27 14:24:46:969,Keven,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,3,Activity U,2020-06-27 15:13:42:977,Velda,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
