case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:18:502,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:26:03:039,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:22:23:468,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 17:21:31:406,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 18:12:50:173,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 19:10:37:635,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 20:06:47:967,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 21:04:34:284,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:28:502,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:16:24:583,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:01:45:067,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:47:28:170,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:07:02:922,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:56:36:475,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:30:41:926,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:38:502,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:18:02:817,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:12:58:703,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:48:502,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:52:45:392,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:51:05:709,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:42:42:807,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:36:43:771,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:33:18:628,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:19:44:036,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:45:29:162,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:58:502,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:00:12:103,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:52:36:316,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:46:46:047,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:18:08:725,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:08:31:036,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:44:50:271,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:02:33:527,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:08:502,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:11:06:632,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:56:34:608,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:33:14:344,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:30:37:874,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:27:20:136,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 18:59:47:922,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
