case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:13:500,Sherlene,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,2,Activity B,2020-06-27 15:00:29:595,Earl,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,3,Activity C,2020-06-27 15:56:05:012,Brant,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,4,Activity D,2020-06-27 16:38:44:337,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,5,Activity E,2020-06-27 17:21:01:996,Hugo,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,6,Activity G,2020-06-27 18:18:33:982,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,7,Activity H,2020-06-27 19:15:37:423,Hoyt,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,8,Activity I,2020-06-27 19:58:06:229,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,9,Activity J,2020-06-27 20:43:51:584,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,10,Activity F,2020-06-27 21:29:08:108,Howard,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:23:500,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:02:12:901,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:58:02:698,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:36:11:316,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:04:05:454,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:49:56:742,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:21:19:668,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:33:500,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:09:20:532,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:07:23:252,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:55:29:290,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:32:14:753,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:24:34:763,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:02:47:722,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:00:45:112,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:48:43:736,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:36:17:222,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:43:500,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:10:01:763,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:59:20:365,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:29:43:537,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:16:12:501,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:05:17:328,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:02:00:606,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:49:35:375,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:43:12:288,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:39:31:468,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:53:500,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:33:20:632,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:20:46:955,James,normal,normal,"-"
5,4,Activity D,2020-06-27 17:10:40:417,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:38:26:962,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:35:35:611,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:13:29:831,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 20:01:24:216,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:51:57:503,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:39:17:342,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:03:500,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 14:51:33:012,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 15:44:46:384,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:17:16:983,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 16:50:17:188,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 17:44:02:122,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 18:40:47:390,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:13:500,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:54:36:105,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:54:22:360,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:27:44:819,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 16:58:42:121,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 17:45:48:698,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:31:22:473,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:30:05:304,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:22:20:532,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 20:58:31:792,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:23:500,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:57:36:058,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:48:21:594,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:18:44:336,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 17:11:59:541,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 18:05:01:506,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 19:04:15:630,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:33:500,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 15:34:08:353,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 16:26:50:119,James,normal,normal,"-"
