case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:37:921,Sherlene,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,2,Activity B,2020-06-27 14:41:19:047,Earl,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,3,Activity H,2020-06-27 15:30:45:876,Hoyt,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,4,Activity C,2020-06-27 16:07:51:426,Brant,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,5,Activity D,2020-06-27 16:42:41:275,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,6,Activity E,2020-06-27 17:28:35:621,Hugo,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,7,Activity G,2020-06-27 18:26:35:832,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,8,Activity I,2020-06-27 19:00:40:116,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,9,Activity J,2020-06-27 20:00:26:163,Sonia,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,10,Activity F,2020-06-27 20:34:57:230,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:47:921,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:34:54:551,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:23:09:262,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:04:46:814,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:22:11:544,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:18:46:775,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:09:54:782,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:06:57:921,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:33:41:881,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:19:08:542,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 15:52:29:737,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:44:38:104,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:43:40:766,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:24:56:632,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:14:38:495,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:11:51:998,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:06:51:413,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:07:921,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:59:56:172,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:57:37:216,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:47:30:561,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:09:44:051,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:04:38:412,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:51:02:759,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:40:46:432,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:37:38:761,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:17:15:714,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:17:921,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:04:10:029,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:59:14:798,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:33:27:559,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:28:47:073,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:17:41:576,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:53:03:971,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:50:02:158,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:35:44:227,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:09:26:223,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity E,2020-06-27 14:07:27:921,Paul,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,2,Activity T,2020-06-27 14:45:38:895,Ryan,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,3,Activity A,2020-06-27 15:36:44:700,Sherlene,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,4,Activity B,2020-06-27 16:29:00:816,Doretta,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,5,Activity C,2020-06-27 16:51:16:696,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,6,Activity D,2020-06-27 17:36:20:460,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,7,Activity F,2020-06-27 18:32:47:691,Lisa,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:37:921,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:50:14:808,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:48:10:497,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:46:25:208,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:13:41:747,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:04:41:639,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:42:04:920,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:42:00:783,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:36:07:123,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 21:33:49:968,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:47:921,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:40:50:460,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:32:14:245,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:16:59:430,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 16:38:18:222,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 17:36:31:892,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 18:23:22:585,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
