case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:40:118,Sherlene,normal,anomalous,"-"
1,2,Activity B,2020-06-27 15:00:50:107,Earl,normal,anomalous,"-"
1,3,Activity C,2020-06-27 15:54:55:754,Brant,normal,anomalous,"-"
1,4,Activity D,2020-06-27 16:33:59:190,Lourdes,normal,anomalous,"-"
1,5,Activity E,2020-06-27 17:02:27:134,Hugo,normal,anomalous,"-"
1,6,Activity G,2020-06-27 17:55:49:451,Lourdes,normal,anomalous,"-"
1,7,Activity H,2020-06-27 18:36:39:657,Hoyt,normal,anomalous,"-"
1,8,Random activity 3,2020-06-27 18:54:32:189,Random user 64,normal,anomalous,"-"
1,9,Activity I,2020-06-27 19:50:25:938,Jack,normal,anomalous,"-"
1,10,Activity J,2020-06-27 20:41:50:494,Sonia,normal,anomalous,"-"
1,11,Activity F,2020-06-27 21:05:28:383,Howard,normal,anomalous,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:50:118,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:53:14:301,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:44:21:267,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:22:58:690,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:06:44:933,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:01:19:388,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:00:34:345,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:00:118,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:57:44:016,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:50:07:720,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:42:25:202,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:18:55:230,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:16:45:477,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:10:44:532,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:05:31:053,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:54:07:770,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:41:07:676,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:10:118,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:31:06:178,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:28:48:465,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:01:45:029,Lourdes,normal,normal,"-"
