case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:15:091,Sherlene,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,2,Activity B,2020-06-27 14:53:44:537,Earl,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,3,Activity D,2020-06-27 15:40:01:494,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,4,Activity E,2020-06-27 16:25:52:342,Hugo,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,5,Activity G,2020-06-27 17:14:54:404,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,6,Activity H,2020-06-27 18:02:53:036,Hoyt,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,7,Activity C,2020-06-27 19:01:35:367,Brant,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,8,Activity I,2020-06-27 19:26:05:604,Jack,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,9,Activity J,2020-06-27 20:15:01:726,Sonia,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,10,Activity F,2020-06-27 21:07:13:010,Howard,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:25:091,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:15:46:946,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:03:35:946,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 17:02:45:693,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 18:00:57:904,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:57:25:244,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:55:46:705,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:35:091,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:27:37:222,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:27:32:035,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 17:25:50:230,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:46:21:200,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:35:29:548,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:19:02:882,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:18:36:591,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 21:16:56:240,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 22:09:20:998,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:45:091,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:35:10:623,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:31:29:910,James,normal,normal,"-"
4,4,Activity D,2020-06-27 17:28:15:568,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 18:06:23:551,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:52:35:982,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:24:48:220,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:47:13:405,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:46:35:517,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:36:34:511,Howard,normal,normal,"-"
