case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:43:293,Sherlene,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,2,Activity B,2020-06-27 15:06:15:058,Earl,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,3,Activity D,2020-06-27 15:55:52:093,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,4,Activity E,2020-06-27 16:35:22:733,Hugo,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,5,Activity G,2020-06-27 17:31:18:624,Lourdes,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,6,Activity H,2020-06-27 18:20:03:975,Hoyt,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,7,Activity C,2020-06-27 19:00:03:815,Brant,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,8,Activity I,2020-06-27 19:21:38:398,Jack,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,9,Activity J,2020-06-27 20:16:55:877,Sonia,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,10,Activity F,2020-06-27 21:14:21:548,Howard,normal,anomalous,"{'shift_from': 2, 'shift_to': 6, 'size': 1}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:53:293,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:04:40:011,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:02:21:655,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 17:01:11:889,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:30:42:523,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:16:04:862,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:04:40:612,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:03:293,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:31:58:435,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:20:50:961,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:16:12:069,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:40:20:928,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:26:56:105,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:19:31:005,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:01:42:604,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:50:20:879,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:30:00:075,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:13:293,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:35:28:876,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:25:36:448,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:14:28:359,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:02:14:496,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:57:33:759,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:47:19:719,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:19:22:368,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:12:36:578,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:10:25:175,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:23:293,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:28:12:202,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:25:07:688,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:05:06:902,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 16:54:36:792,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 17:42:42:074,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:28:06:842,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 18:57:57:505,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 19:46:21:558,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 20:26:51:463,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity C,2020-06-27 14:07:33:293,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,2,Activity D,2020-06-27 14:59:36:673,Lourdes,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,3,Activity E,2020-06-27 15:55:39:304,Paul,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,4,Activity T,2020-06-27 16:45:51:460,Ryan,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,5,Activity A,2020-06-27 17:24:58:372,Sherlene,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,6,Activity B,2020-06-27 18:23:00:745,Doretta,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,7,Activity F,2020-06-27 19:04:59:394,Lisa,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:43:293,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 15:05:17:273,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:58:36:761,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:40:51:541,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 17:18:05:890,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:09:10:994,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:52:30:947,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:29:16:368,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 20:15:04:803,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 21:00:53:508,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:53:293,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:52:24:140,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:51:54:743,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:26:48:855,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 17:25:13:054,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 18:19:20:634,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 19:10:24:051,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:08:03:293,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 14:56:32:479,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:56:05:374,James,normal,normal,"-"
9,4,Activity D,2020-06-27 16:53:16:173,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 17:08:40:457,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 18:04:03:863,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 18:36:22:479,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 19:06:59:531,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 19:59:10:147,Sonia,normal,normal,"-"
9,10,Activity F,2020-06-27 20:36:57:579,Howard,normal,normal,"-"
9,11,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity A,2020-06-27 14:08:13:293,Sherlene,normal,normal,"-"
10,2,Activity B,2020-06-27 14:36:11:607,Earl,normal,normal,"-"
10,3,Activity C,2020-06-27 15:35:57:204,Brant,normal,normal,"-"
10,4,Activity D,2020-06-27 16:35:13:839,Lourdes,normal,normal,"-"
10,5,Activity E,2020-06-27 17:19:54:468,Tiffiny,normal,normal,"-"
10,6,Activity K,2020-06-27 18:11:45:265,Rossana,normal,normal,"-"
10,7,Activity R,2020-06-27 18:53:05:747,Carmella,normal,normal,"-"
10,8,Activity S,2020-06-27 19:26:56:401,Velda,normal,normal,"-"
10,9,Activity L,2020-06-27 20:18:41:273,Amanda,normal,normal,"-"
10,10,Activity F,2020-06-27 20:49:31:568,Emily,normal,normal,"-"
10,11,■,-,-,-,-,"-"
11,0,▶,-,-,-,-,"-"
11,1,Activity A,2020-06-27 14:08:23:293,Sherlene,normal,normal,"-"
11,2,Activity B,2020-06-27 14:38:39:666,Earl,normal,normal,"-"
11,3,Activity C,2020-06-27 15:27:58:704,James,normal,normal,"-"
11,4,Activity D,2020-06-27 16:08:40:970,Lourdes,normal,normal,"-"
11,5,Activity E,2020-06-27 16:44:36:083,Gema,normal,normal,"-"
11,6,Activity K,2020-06-27 17:34:19:351,Pam,normal,normal,"-"
11,7,Activity M,2020-06-27 18:33:07:926,Issac,normal,normal,"-"
11,8,Activity N,2020-06-27 18:52:46:403,Sonia,normal,normal,"-"
11,9,Activity L,2020-06-27 19:44:40:266,Keven,normal,normal,"-"
11,10,Activity F,2020-06-27 20:22:59:869,Howard,normal,normal,"-"
11,11,■,-,-,-,-,"-"
12,0,▶,-,-,-,-,"-"
12,1,Activity A,2020-06-27 14:08:33:293,Sherlene,normal,normal,"-"
12,2,Activity B,2020-06-27 14:33:26:921,Earl,normal,normal,"-"
12,3,Activity C,2020-06-27 15:25:25:787,Brant,normal,normal,"-"
12,4,Activity D,2020-06-27 16:11:31:574,Lourdes,normal,normal,"-"
12,5,Activity E,2020-06-27 17:08:34:776,Hugo,normal,normal,"-"
12,6,Activity G,2020-06-27 17:57:18:865,Elisha,normal,normal,"-"
12,7,Activity H,2020-06-27 18:43:59:760,James,normal,normal,"-"
12,8,Activity I,2020-06-27 19:24:34:571,Jack,normal,normal,"-"
12,9,Activity J,2020-06-27 20:21:22:645,Sonia,normal,normal,"-"
12,10,Activity F,2020-06-27 20:57:07:481,Howard,normal,normal,"-"
12,11,■,-,-,-,-,"-"
13,0,▶,-,-,-,-,"-"
13,1,Activity A,2020-06-27 14:08:43:293,Sherlene,normal,normal,"-"
13,2,Activity B,2020-06-27 15:02:42:029,Earl,normal,normal,"-"
13,3,Activity C,2020-06-27 15:58:39:927,James,normal,normal,"-"
13,4,Activity D,2020-06-27 16:53:06:584,Lourdes,normal,normal,"-"
13,5,Activity E,2020-06-27 17:33:20:934,Hugo,normal,normal,"-"
13,6,Activity G,2020-06-27 18:23:27:969,Elisha,normal,normal,"-"
13,7,Activity H,2020-06-27 19:16:30:057,James,normal,normal,"-"
13,8,Activity I,2020-06-27 19:52:38:033,Jack,normal,normal,"-"
13,9,Activity J,2020-06-27 20:41:51:593,Sonia,normal,normal,"-"
13,10,Activity F,2020-06-27 21:30:37:607,Howard,normal,normal,"-"
13,11,■,-,-,-,-,"-"
14,0,▶,-,-,-,-,"-"
14,1,Activity A,2020-06-27 14:08:53:293,Sherlene,normal,normal,"-"
14,2,Activity B,2020-06-27 14:44:17:735,Earl,normal,normal,"-"
14,3,Activity C,2020-06-27 15:29:54:516,Brant,normal,normal,"-"
14,4,Activity D,2020-06-27 16:09:57:836,Lourdes,normal,normal,"-"
14,5,Activity E,2020-06-27 16:45:13:171,Hugo,normal,normal,"-"
14,6,Activity G,2020-06-27 17:33:49:354,Elisha,normal,normal,"-"
14,7,Activity H,2020-06-27 18:04:21:390,Hoyt,normal,normal,"-"
14,8,Activity I,2020-06-27 18:54:55:855,Jack,normal,normal,"-"
14,9,Activity J,2020-06-27 19:40:38:989,Sonia,normal,normal,"-"
14,10,Activity F,2020-06-27 20:30:34:286,Howard,normal,normal,"-"
14,11,■,-,-,-,-,"-"
15,0,▶,-,-,-,-,"-"
15,1,Activity A,2020-06-27 14:09:03:293,Sherlene,normal,normal,"-"
15,2,Activity B,2020-06-27 14:42:11:241,Earl,normal,normal,"-"
15,3,Activity C,2020-06-27 15:34:16:496,James,normal,normal,"-"
15,4,Activity D,2020-06-27 16:27:46:144,Lourdes,normal,normal,"-"
15,5,Activity E,2020-06-27 17:19:40:929,Gema,normal,normal,"-"
15,6,Activity K,2020-06-27 18:13:38:803,Pam,normal,normal,"-"
15,7,Activity M,2020-06-27 18:45:54:974,Issac,normal,normal,"-"
15,8,Activity N,2020-06-27 19:28:26:015,Sonia,normal,normal,"-"
15,9,Activity L,2020-06-27 20:16:41:498,Jack,normal,normal,"-"
15,10,Activity F,2020-06-27 20:54:53:586,Howard,normal,normal,"-"
15,11,■,-,-,-,-,"-"
16,0,▶,-,-,-,-,"-"
16,1,Activity A,2020-06-27 14:09:13:293,Sherlene,normal,normal,"-"
16,2,Activity B,2020-06-27 14:34:41:370,Doretta,normal,normal,"-"
16,3,Activity C,2020-06-27 15:21:03:075,Donald,normal,normal,"-"
16,4,Activity D,2020-06-27 16:05:26:019,Lourdes,normal,normal,"-"
16,5,Activity E,2020-06-27 16:52:45:294,Della,normal,normal,"-"
16,6,Activity K,2020-06-27 17:45:25:689,Pam,normal,normal,"-"
16,7,Activity M,2020-06-27 18:34:44:652,Issac,normal,normal,"-"
16,8,Activity N,2020-06-27 19:31:10:590,Sonia,normal,normal,"-"
16,9,Activity L,2020-06-27 20:19:27:492,Ling,normal,normal,"-"
16,10,Activity F,2020-06-27 21:14:31:054,Howard,normal,normal,"-"
16,11,■,-,-,-,-,"-"
17,0,▶,-,-,-,-,"-"
17,1,Activity A,2020-06-27 14:09:23:293,Sherlene,normal,normal,"-"
17,2,Activity B,2020-06-27 14:31:59:897,Doretta,normal,normal,"-"
17,3,Activity C,2020-06-27 15:21:14:383,James,normal,normal,"-"
17,4,Activity D,2020-06-27 15:59:25:265,Lourdes,normal,normal,"-"
17,5,Activity E,2020-06-27 16:23:42:616,Della,normal,normal,"-"
17,6,Activity T,2020-06-27 17:09:26:602,Ryan,normal,normal,"-"
17,7,Activity F,2020-06-27 17:52:33:654,Lisa,normal,normal,"-"
17,8,■,-,-,-,-,"-"
18,0,▶,-,-,-,-,"-"
18,1,Activity A,2020-06-27 14:09:33:293,Sherlene,normal,normal,"-"
18,2,Activity B,2020-06-27 14:34:32:581,Doretta,normal,normal,"-"
18,3,Activity C,2020-06-27 15:22:49:121,Brant,normal,normal,"-"
18,4,Activity D,2020-06-27 16:11:35:155,Lourdes,normal,normal,"-"
18,5,Activity E,2020-06-27 17:02:19:988,Della,normal,normal,"-"
18,6,Activity T,2020-06-27 17:57:06:286,Ryan,normal,normal,"-"
18,7,Activity F,2020-06-27 18:52:10:639,Lisa,normal,normal,"-"
18,8,■,-,-,-,-,"-"
19,0,▶,-,-,-,-,"-"
19,1,Activity A,2020-06-27 14:09:43:293,Sherlene,normal,normal,"-"
19,2,Activity B,2020-06-27 14:34:00:287,Earl,normal,normal,"-"
19,3,Activity C,2020-06-27 15:33:43:370,Brant,normal,normal,"-"
19,4,Activity D,2020-06-27 16:14:11:498,Lourdes,normal,normal,"-"
19,5,Activity E,2020-06-27 16:39:20:659,Paul,normal,normal,"-"
19,6,Activity T,2020-06-27 17:29:55:436,Ryan,normal,normal,"-"
19,7,Activity F,2020-06-27 18:13:42:004,Lisa,normal,normal,"-"
19,8,■,-,-,-,-,"-"
20,0,▶,-,-,-,-,"-"
20,1,Activity A,2020-06-27 14:09:53:293,Sherlene,normal,normal,"-"
20,2,Activity B,2020-06-27 14:55:31:577,Earl,normal,normal,"-"
20,3,Activity C,2020-06-27 15:41:00:424,Brant,normal,normal,"-"
20,4,Activity D,2020-06-27 16:22:52:484,Lourdes,normal,normal,"-"
20,5,Activity E,2020-06-27 17:14:51:272,Gema,normal,normal,"-"
20,6,Activity K,2020-06-27 18:12:19:459,Pam,normal,normal,"-"
20,7,Activity M,2020-06-27 19:02:24:223,Issac,normal,normal,"-"
20,8,Activity N,2020-06-27 19:43:07:138,Sonia,normal,normal,"-"
20,9,Activity L,2020-06-27 20:28:28:511,Keven,normal,normal,"-"
20,10,Activity F,2020-06-27 21:21:52:895,Howard,normal,normal,"-"
20,11,■,-,-,-,-,"-"
21,0,▶,-,-,-,-,"-"
21,1,Activity A,2020-06-27 14:10:03:293,Sherlene,normal,normal,"-"
21,2,Activity B,2020-06-27 14:32:29:141,Earl,normal,normal,"-"
21,3,Activity C,2020-06-27 15:26:01:172,James,normal,normal,"-"
21,4,Activity D,2020-06-27 16:12:38:686,Lourdes,normal,normal,"-"
21,5,Activity E,2020-06-27 16:59:00:313,Tiffiny,normal,normal,"-"
21,6,Activity K,2020-06-27 17:44:20:836,Melany,normal,normal,"-"
21,7,Activity O,2020-06-27 18:18:14:748,Melany,normal,normal,"-"
21,8,Activity P,2020-06-27 19:05:40:095,Grayce,normal,normal,"-"
21,9,Activity L,2020-06-27 20:03:05:468,Amanda,normal,normal,"-"
21,10,Activity F,2020-06-27 20:56:10:378,Emily,normal,normal,"-"
21,11,■,-,-,-,-,"-"
22,0,▶,-,-,-,-,"-"
22,1,Activity A,2020-06-27 14:10:13:293,Sherlene,normal,normal,"-"
22,2,Activity B,2020-06-27 14:32:26:709,Doretta,normal,normal,"-"
22,3,Activity C,2020-06-27 15:31:03:732,Donald,normal,normal,"-"
22,4,Activity D,2020-06-27 16:13:07:253,Lourdes,normal,normal,"-"
22,5,Activity E,2020-06-27 17:10:43:399,Paul,normal,normal,"-"
22,6,Activity T,2020-06-27 18:01:53:381,Ryan,normal,normal,"-"
22,7,Activity F,2020-06-27 18:44:45:332,Lisa,normal,normal,"-"
22,8,■,-,-,-,-,"-"
23,0,▶,-,-,-,-,"-"
23,1,Activity A,2020-06-27 14:10:23:293,Sherlene,normal,normal,"-"
23,2,Activity B,2020-06-27 14:56:58:027,Earl,normal,normal,"-"
23,3,Activity C,2020-06-27 15:48:08:103,Brant,normal,normal,"-"
23,4,Activity D,2020-06-27 16:48:00:178,Lourdes,normal,normal,"-"
