case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:51:819,Sherlene,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,2,Activity B,2020-06-27 14:33:19:283,Earl,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,3,Activity C,2020-06-27 15:27:50:964,Brant,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,4,Activity D,2020-06-27 16:01:12:515,Lourdes,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,5,Activity E,2020-06-27 16:26:22:833,Hugo,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,6,Activity H,2020-06-27 17:16:39:356,Hoyt,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,7,Activity I,2020-06-27 18:12:52:244,Jack,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,8,Activity J,2020-06-27 18:56:15:350,Sonia,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,9,Activity F,2020-06-27 19:42:21:729,Howard,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,10,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:07:01:819,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:33:38:994,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:30:38:920,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:25:41:771,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:23:44:383,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:21:34:576,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:59:03:332,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:11:819,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:06:05:224,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:01:34:823,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:58:36:521,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:19:12:563,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:18:47:127,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:10:11:823,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:08:48:225,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:57:28:476,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:29:55:030,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:21:819,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:45:29:464,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:33:09:494,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:12:51:712,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 16:39:37:147,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:34:16:135,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:24:43:912,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:14:43:742,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:02:57:172,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:34:37:123,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:31:819,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:34:37:191,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:33:30:424,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:15:36:909,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:10:08:521,Gema,normal,normal,"-"
