case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:16:22:842,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 17:38:58:232,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 18:34:47:561,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 19:34:04:813,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 19:59:54:236,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 20:45:02:772,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 21:35:38:695,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 22:10:36:601,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 23:01:08:390,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 23:57:37:733,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:16:32:842,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:08:10:409,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 19:05:14:492,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:59:21:309,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:58:04:353,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:48:39:205,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:43:26:640,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:16:42:842,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:40:42:305,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:37:13:610,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:25:02:767,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:24:45:780,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:13:00:175,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:57:22:703,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:22:47:735,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:11:28:692,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:07:08:808,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:16:52:842,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:34:27:359,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:26:17:092,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:01:09:941,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:24:22:860,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:14:03:380,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 20:54:03:113,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 21:26:08:009,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 22:11:37:667,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:00:28:342,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:17:02:842,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:38:32:672,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:25:42:796,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:03:17:871,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 19:48:15:458,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 20:41:14:187,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:28:15:170,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 21:58:38:046,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 22:43:38:366,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 23:19:59:448,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:17:12:842,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 18:06:17:296,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:54:00:854,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:46:41:223,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:38:08:543,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:37:36:946,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 22:19:29:934,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:17:22:842,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 18:10:27:049,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:56:03:426,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:29:33:143,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 19:55:23:338,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 20:51:57:017,Lourdes,normal,normal,"-"
