case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:14:684,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 15:20:02:789,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 16:16:50:981,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 16:59:41:562,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 17:19:48:440,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 18:14:44:296,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 18:52:02:554,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 19:50:52:440,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 20:45:33:025,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 21:32:28:978,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:24:684,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:57:56:590,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:44:33:915,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:14:46:993,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:08:17:114,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:55:42:243,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:34:42:810,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:34:684,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:04:08:261,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:49:42:532,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:43:22:089,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:25:13:458,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:18:48:620,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:55:58:799,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:52:32:696,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:47:09:008,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 21:34:37:759,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:44:684,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:53:48:318,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:43:00:532,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:35:04:343,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:06:07:985,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:54:05:160,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:24:42:902,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 18:51:59:587,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 19:49:25:371,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:40:56:828,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:54:684,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:31:35:924,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:17:17:510,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:54:02:430,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:15:23:116,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:14:39:176,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 18:59:13:807,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:21:36:335,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:13:51:035,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:07:05:024,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:04:684,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 15:30:31:015,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 16:24:14:050,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:55:13:348,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:25:34:206,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 18:21:48:238,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 19:17:01:131,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:14:684,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 15:05:32:478,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:52:48:276,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:23:54:227,Lourdes,normal,normal,"-"
