case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:42:389,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 14:35:49:269,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 15:35:06:234,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 16:16:50:060,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 17:03:48:550,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 17:55:36:745,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 18:39:29:431,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 19:00:34:214,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 19:56:23:210,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 20:31:26:069,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:52:389,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:55:42:724,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:45:28:358,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:24:29:081,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 16:50:43:145,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:44:57:351,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:27:46:327,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:02:389,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:27:31:776,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:23:53:677,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:06:13:236,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:33:52:740,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:31:28:893,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:26:58:944,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:19:48:098,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:12:54:833,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:49:04:841,Emily,normal,normal,"-"
3,11,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:12:389,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:55:46:989,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:51:22:616,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:21:48:937,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:05:13:646,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:01:47:212,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:40:02:707,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:22:56:512,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:21:20:389,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:51:33:829,Howard,normal,normal,"-"
4,11,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:22:389,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 14:43:44:060,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 15:33:37:675,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:27:16:125,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:22:35:648,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:20:02:856,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:00:44:498,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:45:18:710,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:33:40:150,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:24:48:296,Emily,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:32:389,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 14:36:55:021,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 15:35:50:112,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 16:21:09:682,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 16:52:31:833,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 17:43:19:686,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 18:36:09:995,Lisa,normal,normal,"-"
6,8,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:42:389,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 14:52:10:068,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 15:46:31:645,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 16:25:42:826,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 16:48:12:806,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 17:41:27:761,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 18:17:29:788,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 19:04:33:395,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 19:51:43:374,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 20:29:05:381,Howard,normal,normal,"-"
7,11,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:52:389,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 14:40:53:754,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:35:05:014,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 16:06:12:834,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 17:05:52:466,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 18:03:07:372,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 18:48:31:886,Lisa,normal,normal,"-"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:08:02:389,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 15:00:31:149,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 15:53:46:638,James,normal,normal,"-"
