case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:25:870,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:50:30:005,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:38:34:066,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:24:23:475,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:18:50:979,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:11:56:412,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:35:870,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:59:57:896,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:54:17:235,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:42:09:861,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:25:07:626,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:16:09:103,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:56:03:932,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:45:870,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:49:25:075,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:39:47:187,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:32:21:605,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:08:03:280,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 21:02:25:798,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:55:870,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 18:06:00:460,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 19:04:13:032,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:56:29:680,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:32:12:825,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 21:29:16:486,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 22:07:59:455,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:05:870,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:34:59:450,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:32:58:747,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:26:00:624,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:46:31:237,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:37:14:854,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:15:870,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:25:35:367,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:25:29:410,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:06:45:129,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:02:26:065,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:55:44:745,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:25:870,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:41:07:177,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:35:03:337,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:05:48:200,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 19:59:40:363,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 20:54:42:442,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:07:35:870,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 17:47:52:716,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 18:42:06:424,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 19:13:01:923,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 20:09:57:817,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 20:59:55:985,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:07:45:870,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 17:28:57:215,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 18:26:17:606,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 19:06:03:048,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 19:22:48:352,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 20:16:47:245,Deloras,normal,normal,"-"
9,7,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:07:55:870,Della,normal,normal,"-"
10,2,Activity N,2020-06-27 17:53:46:331,Doretta,normal,normal,"-"
10,3,Activity R,2020-06-27 18:44:07:853,Sherell,normal,normal,"-"
10,4,Activity U,2020-06-27 19:27:42:535,Ling,normal,normal,"-"
10,5,Activity S,2020-06-27 20:00:02:773,Vickie,normal,normal,"-"
10,6,Activity O,2020-06-27 20:52:31:091,Hoyt,normal,normal,"-"
10,7,Activity B,2020-06-27 21:48:13:023,Deloras,normal,normal,"-"
10,8,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:08:05:870,Della,normal,normal,"-"
11,2,Activity N,2020-06-27 17:39:26:417,Brant,normal,normal,"-"
11,3,Activity R,2020-06-27 18:37:23:840,Carmella,normal,normal,"-"
11,4,Activity U,2020-06-27 19:07:27:977,Ling,normal,normal,"-"
11,5,Activity S,2020-06-27 20:00:41:152,Vickie,normal,normal,"-"
11,6,Activity O,2020-06-27 20:59:34:822,Junior,normal,normal,"-"
11,7,Activity B,2020-06-27 21:42:53:409,Tiffiny,normal,normal,"-"
11,8,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:08:15:870,Della,normal,normal,"-"
12,2,Activity N,2020-06-27 17:51:27:014,Jimmy,normal,normal,"-"
12,3,Activity AG,2020-06-27 18:40:15:908,Sandra,normal,normal,"-"
12,4,Activity AH,2020-06-27 19:29:35:027,Jamika,normal,normal,"-"
12,5,Activity O,2020-06-27 20:06:19:108,Howard,normal,normal,"-"
12,6,Activity B,2020-06-27 20:52:59:438,Deloras,normal,normal,"-"
12,7,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:08:25:870,Alyce,normal,normal,"-"
13,2,Activity N,2020-06-27 17:44:47:305,Roy,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:43:44:451,Hoyt,normal,normal,"-"
13,4,Activity AF,2020-06-27 19:22:32:513,Rossie,normal,normal,"-"
13,5,Activity O,2020-06-27 19:55:57:814,Jamika,normal,normal,"-"
13,6,Activity B,2020-06-27 20:44:09:529,Melany,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:08:35:870,Della,normal,normal,"-"
14,2,Activity N,2020-06-27 17:57:46:114,Roseanne,normal,normal,"-"
14,3,Activity P,2020-06-27 18:54:17:002,James,normal,normal,"-"
14,4,Activity Q,2020-06-27 19:52:47:827,Della,normal,normal,"-"
14,5,Activity O,2020-06-27 20:39:27:496,Hugo,normal,normal,"-"
14,6,Activity B,2020-06-27 21:36:19:072,Melany,normal,normal,"-"
14,7,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:08:45:870,Della,normal,normal,"-"
15,2,Activity N,2020-06-27 17:52:26:550,Hoyt,normal,normal,"-"
15,3,Activity R,2020-06-27 18:42:32:812,Vickie,normal,normal,"-"
15,4,Activity X,2020-06-27 19:37:05:198,Johnny,normal,normal,"-"
15,5,Activity S,2020-06-27 20:12:07:333,Grayce,normal,normal,"-"
15,6,Activity O,2020-06-27 21:07:10:411,Jamika,normal,normal,"-"
15,7,Activity B,2020-06-27 22:05:28:882,Gema,normal,normal,"-"
15,8,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:08:55:870,Della,normal,normal,"-"
16,2,Activity N,2020-06-27 17:42:28:716,Brant,normal,normal,"-"
16,3,Activity AG,2020-06-27 18:30:16:642,Sandra,normal,normal,"-"
16,4,Activity AH,2020-06-27 19:07:28:376,Jamika,normal,normal,"-"
16,5,Activity O,2020-06-27 19:28:45:937,Howard,normal,normal,"-"
16,6,Activity B,2020-06-27 20:28:04:289,Deloras,normal,normal,"-"
16,7,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:09:05:870,Della,normal,normal,"-"
17,2,Activity N,2020-06-27 17:28:05:602,Alyce,normal,normal,"-"
17,3,Activity AE,2020-06-27 18:27:57:088,Hoyt,normal,normal,"-"
17,4,Activity AF,2020-06-27 19:10:53:355,Rossie,normal,normal,"-"
17,5,Activity O,2020-06-27 19:53:09:300,Hoyt,normal,normal,"-"
17,6,Activity B,2020-06-27 20:39:57:459,Tiffiny,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:09:15:870,Della,normal,normal,"-"
18,2,Activity N,2020-06-27 18:03:46:724,Hoyt,normal,normal,"-"
18,3,Activity R,2020-06-27 18:58:53:549,Carmella,normal,normal,"-"
18,4,Activity T,2020-06-27 19:33:53:911,Iluminada,normal,normal,"-"
18,5,Activity S,2020-06-27 20:09:15:452,Sandra,normal,normal,"-"
18,6,Activity O,2020-06-27 20:56:44:815,Shandi,normal,normal,"-"
18,7,Activity B,2020-06-27 21:36:28:580,Grayce,normal,normal,"-"
18,8,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:09:25:870,Della,normal,normal,"-"
19,2,Activity N,2020-06-27 17:57:33:857,Roy,normal,normal,"-"
19,3,Activity AE,2020-06-27 18:44:50:960,Hoyt,normal,normal,"-"
19,4,Activity AF,2020-06-27 19:38:12:333,Rossie,normal,normal,"-"
19,5,Activity O,2020-06-27 20:31:30:648,Junior,normal,normal,"-"
19,6,Activity B,2020-06-27 21:30:01:162,Grayce,normal,normal,"-"
19,7,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:09:35:870,Della,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,2,Activity N,2020-06-27 18:03:07:768,Doretta,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,3,Activity R,2020-06-27 19:00:35:122,Carmella,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,4,Activity T,2020-06-27 19:40:08:628,Iluminada,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,5,Activity S,2020-06-27 20:19:43:493,Sandra,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,6,Activity O,2020-06-27 21:08:57:009,Michaele,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,7,Activity B,2020-06-27 21:42:09:400,Michaele,normal,anomalous,"{'index': [5, 6], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'Deloras']}"
20,8,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:09:45:870,Alyce,normal,normal,"-"
21,2,Activity N,2020-06-27 17:33:24:680,Brant,normal,normal,"-"
21,3,Activity R,2020-06-27 18:27:53:415,Hassie,normal,normal,"-"
21,4,Activity T,2020-06-27 19:08:18:823,Iluminada,normal,normal,"-"
21,5,Activity S,2020-06-27 19:59:50:968,Elisha,normal,normal,"-"
