case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:17:241,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:17:29:052,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:05:40:488,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:56:13:302,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:20:59:064,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:10:49:555,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:27:241,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:12:14:224,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:01:37:218,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:47:17:767,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:30:01:920,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:26:32:418,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:10:00:773,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:37:241,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:17:49:453,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:12:02:440,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:55:04:725,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:54:05:715,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:49:30:443,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:47:241,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:04:42:792,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:50:50:997,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:47:11:599,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:13:51:835,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:00:26:233,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:34:21:220,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:57:241,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:54:19:710,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:54:00:395,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:49:38:285,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:47:24:059,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:39:06:804,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:07:241,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:57:33:781,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:44:16:337,Hoyt,normal,normal,"-"
