case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:13:957,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:04:27:536,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:01:11:689,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:48:53:074,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:47:18:930,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:42:10:105,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:23:957,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:22:21:012,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:14:19:960,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:51:39:778,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:12:03:679,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:03:55:467,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:56:26:119,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:33:957,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:51:46:639,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:44:33:445,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:37:17:778,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:06:15:283,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:51:45:276,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:43:957,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:06:23:211,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:56:05:587,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:40:22:038,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:19:57:906,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:05:46:421,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:45:51:105,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:53:957,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:11:37:718,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:06:35:182,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:53:02:988,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:34:49:701,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:30:34:976,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:03:957,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:28:38:537,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:20:22:860,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:13:47:636,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:42:34:040,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:35:16:909,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:36:13:957,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 15:18:49:251,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 16:15:03:195,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 17:09:36:326,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:24:44:938,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:22:28:263,Grayce,normal,normal,"-"
7,7,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:36:23:957,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:55:46:802,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:43:38:538,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:37:43:350,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:23:49:078,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:13:55:494,Deloras,normal,normal,"-"
8,7,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:36:33:957,Della,normal,normal,"-"
