case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:06:25:680,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:47:55:438,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:34:49:965,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:25:45:205,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:13:06:836,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:11:21:036,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:06:35:680,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:46:55:940,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:46:01:717,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:29:58:692,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 19:56:41:920,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:54:42:668,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:27:02:984,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:06:45:680,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:35:32:186,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:23:18:306,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:08:24:542,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:04:58:225,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:58:14:602,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:06:55:680,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:27:35:307,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:23:04:431,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:08:19:315,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:40:45:828,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:36:55:797,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:13:52:598,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:07:05:680,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 17:33:27:947,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:31:03:541,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:24:02:717,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 20:04:32:821,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 21:01:36:964,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:07:15:680,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:48:00:112,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:45:18:063,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:31:42:439,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 19:49:27:344,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:47:49:438,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:07:25:680,Della,normal,normal,"-"
