case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:35:15:696,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 15:15:53:116,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 16:03:31:462,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:34:02:721,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:53:28:522,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:50:51:463,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:35:25:696,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:54:32:860,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:53:14:328,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:48:35:900,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:44:16:102,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:29:38:490,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:25:19:297,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:35:35:696,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:08:03:493,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:01:21:768,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:35:42:871,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:32:13:366,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:26:52:249,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:35:45:696,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:35:42:933,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 16:30:29:287,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 17:27:08:973,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 18:16:15:113,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 19:09:05:494,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 20:02:29:684,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:35:55:696,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:14:34:771,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:08:18:466,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 17:05:34:582,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:45:15:381,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:34:48:836,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:36:05:696,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:28:21:312,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:15:08:949,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:52:08:759,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:15:16:871,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:01:25:008,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
