case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:06:44:849,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:35:55:230,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:21:44:664,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:04:18:533,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:32:45:805,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:25:42:972,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:06:54:849,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:03:45:622,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:49:36:102,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:27:24:768,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:13:06:013,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:12:03:343,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:51:50:760,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:07:04:849,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:36:22:430,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:31:30:836,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:04:36:934,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 16:56:43:200,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 17:52:15:882,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:07:14:849,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:49:45:883,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:43:46:168,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:32:04:601,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:29:07:183,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:28:00:402,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 19:00:02:566,Melany,normal,normal,"-"
4,8,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:07:24:849,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 14:38:57:985,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 15:24:38:757,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:24:31:589,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 16:56:09:423,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 17:45:20:715,Deloras,normal,normal,"-"
5,7,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:07:34:849,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 14:25:19:068,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 15:22:29:407,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 16:05:28:160,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 16:27:47:688,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 17:14:26:225,Gema,normal,normal,"-"
6,7,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:07:44:849,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 14:58:22:072,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 15:56:42:549,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 16:53:40:492,Jamika,normal,normal,"-"
7,5,Activity O,2020-06-27 17:46:24:926,Howard,normal,normal,"-"
7,6,Activity B,2020-06-27 18:40:30:161,Grayce,normal,normal,"-"
7,7,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:07:54:849,Della,normal,normal,"-"
8,2,Activity N,2020-06-27 14:29:05:790,Brant,normal,normal,"-"
8,3,Activity AG,2020-06-27 15:23:18:783,Sandra,normal,normal,"-"
8,4,Activity AH,2020-06-27 16:12:39:499,Jamika,normal,normal,"-"
8,5,Activity O,2020-06-27 17:12:06:505,Howard,normal,normal,"-"
8,6,Activity B,2020-06-27 18:05:04:243,Deloras,normal,normal,"-"
8,7,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:08:04:849,Della,normal,normal,"-"
9,2,Activity N,2020-06-27 14:23:59:827,Brant,normal,normal,"-"
9,3,Activity AG,2020-06-27 15:09:11:069,Sandra,normal,normal,"-"
9,4,Activity AH,2020-06-27 15:57:06:618,Jamika,normal,normal,"-"
9,5,Activity O,2020-06-27 16:25:44:250,Howard,normal,normal,"-"
9,6,Activity B,2020-06-27 17:18:24:391,Deloras,normal,normal,"-"
