case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:28:785,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:30:14:709,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:29:54:773,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:25:53:488,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:43:01:477,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:29:30:056,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:10:48:615,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 14:33:38:785,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 15:26:25:679,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 16:22:58:566,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity BZ,2020-06-27 14:33:48:785,Frances,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,2,Activity A,2020-06-27 15:21:52:933,Sharee,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,3,Activity B,2020-06-27 16:12:57:173,Steve,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:58:785,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:10:28:233,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:57:47:967,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:08:785,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 15:03:05:884,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 16:02:23:879,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:18:785,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:49:36:607,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:38:31:622,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:28:785,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:11:27:747,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:57:41:276,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:38:785,Amanda,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
8,2,Activity E,2020-06-27 14:52:18:841,Donald,normal,anomalous,"{'shift_from': 3, 'shift_to': 1, 'size': 1}"
