case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:25:153,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:06:50:014,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:06:46:799,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:01:58:065,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:59:47:581,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:50:46:721,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:27:20:183,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Random activity 66,2020-06-27 14:33:35:153,Random user 50,normal,anomalous,"-"
2,2,Activity A,2020-06-27 15:09:56:954,Joe,normal,anomalous,"-"
2,3,Activity BC,2020-06-27 15:55:21:661,Micheline,normal,anomalous,"-"
2,4,Activity B,2020-06-27 16:49:05:997,Deloras,normal,anomalous,"-"
2,5,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:45:153,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:08:54:891,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:59:17:771,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:55:153,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:20:11:809,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 16:18:28:815,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:05:153,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:55:29:937,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:45:43:776,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:15:153,Joe,normal,anomalous,"-"
6,2,Random activity 42,2020-06-27 15:28:07:282,Random user 17,normal,anomalous,"-"
6,3,Activity BC,2020-06-27 16:22:06:923,Micheline,normal,anomalous,"-"
6,4,Activity B,2020-06-27 17:17:38:702,Tiffiny,normal,anomalous,"-"
6,5,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:25:153,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:24:20:103,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:15:16:558,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:35:153,Amanda,normal,normal,"-"
8,2,Activity C,2020-06-27 15:18:44:386,Lisa,normal,normal,"-"
8,3,Activity E,2020-06-27 16:11:40:555,Donald,normal,normal,"-"
8,4,Activity F,2020-06-27 17:09:23:360,Keven,normal,normal,"-"
8,5,Activity D,2020-06-27 17:30:12:092,James,normal,normal,"-"
8,6,Activity S,2020-06-27 18:18:58:722,Hoyt,normal,normal,"-"
8,7,Activity B,2020-06-27 19:09:15:101,Tiffiny,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:45:153,Micheline,normal,anomalous,"{'indices': [2, 4]}"
9,2,Activity T,2020-06-27 15:03:24:952,Steve,normal,anomalous,"{'indices': [2, 4]}"
9,3,Random activity 25,2020-06-27 15:50:34:125,Random user 33,normal,anomalous,"{'indices': [2, 4]}"
9,4,Activity AC,2020-06-27 16:44:45:269,Lucy,normal,anomalous,"{'indices': [2, 4]}"
9,5,Random activity 72,2020-06-27 17:14:20:967,Random user 44,normal,anomalous,"{'indices': [2, 4]}"
9,6,Activity AE,2020-06-27 18:12:13:779,Amanda,normal,anomalous,"{'indices': [2, 4]}"
9,7,Activity AD,2020-06-27 19:09:31:199,Emily,normal,anomalous,"{'indices': [2, 4]}"
9,8,Activity U,2020-06-27 19:48:25:764,Hannah,normal,anomalous,"{'indices': [2, 4]}"
9,9,Activity B,2020-06-27 20:46:35:701,Ronald,normal,anomalous,"{'indices': [2, 4]}"
9,10,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:55:153,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 14:54:41:374,Seth,normal,normal,"-"
