case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:33:161,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 18:03:31:868,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:57:13:687,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:51:28:845,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:28:50:213,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:24:40:293,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 22:01:34:567,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 17:04:43:161,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,2,Activity A,2020-06-27 17:50:51:179,Joe,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,3,Activity B,2020-06-27 18:45:49:162,Deloras,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity BZ,2020-06-27 17:04:53:161,Frances,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,2,Activity A,2020-06-27 17:43:17:491,Sharee,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,3,Activity B,2020-06-27 18:38:22:588,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:03:161,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:51:36:631,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:37:24:270,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:13:161,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 17:28:44:408,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:15:59:505,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:23:161,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:35:36:304,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:34:19:752,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:33:161,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:56:53:374,Micheline,normal,normal,"-"
