case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:29:669,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:26:16:729,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:17:38:436,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:13:55:509,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:11:06:501,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:03:39:417,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 21:35:27:589,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 17:04:39:669,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 17:40:00:426,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 18:33:56:883,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:49:669,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 17:30:40:269,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:27:31:934,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:04:59:669,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 18:02:42:074,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:57:36:654,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:09:669,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 18:00:28:246,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:46:17:203,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:19:669,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 18:03:28:158,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 19:01:14:059,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:29:669,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 17:24:04:731,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 18:12:43:376,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:39:669,Amanda,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,2,Activity C,2020-06-27 17:33:16:048,Lisa,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,3,Activity E,2020-06-27 18:33:07:626,Donald,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,4,Activity F,2020-06-27 19:23:53:374,Grayce,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,5,Activity D,2020-06-27 19:53:39:267,Rossana,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,6,Activity S,2020-06-27 20:41:15:559,Hoyt,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,7,Activity B,2020-06-27 21:26:21:932,Tiffiny,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:05:49:669,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 17:49:04:943,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:48:52:622,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:26:37:934,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:20:53:357,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:09:27:539,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:46:38:837,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:05:59:669,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:33:27:671,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 18:30:54:346,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 19:03:44:376,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 19:19:56:887,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 20:06:41:529,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 20:56:30:335,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 21:12:52:329,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:06:09:669,Amanda,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,2,Activity C,2020-06-27 17:49:48:125,Vickie,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,3,Activity L,2020-06-27 18:37:12:610,Lisa,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,4,Activity D,2020-06-27 19:07:57:316,Shandi,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,5,Activity O,2020-06-27 19:53:59:072,Johnny,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,6,Activity M,2020-06-27 20:49:16:001,Maryellen,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,7,Activity S,2020-06-27 21:34:20:901,Brian,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,8,Activity B,2020-06-27 22:16:52:527,Ronald,normal,anomalous,"{'shift_from': 3, 'shift_to': 4, 'size': 2}"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:06:19:669,Carmella,normal,normal,"-"
12,2,Activity BC,2020-06-27 18:04:37:133,Micheline,normal,normal,"-"
12,3,Activity B,2020-06-27 18:49:56:338,Tiffiny,normal,normal,"-"
12,4,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:06:29:669,Sharee,normal,normal,"-"
13,2,Activity BZ,2020-06-27 17:51:13:139,Issac,normal,normal,"-"
13,3,Activity B,2020-06-27 18:50:41:146,Steve,normal,normal,"-"
13,4,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:06:39:669,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 17:57:52:703,Hoyt,normal,normal,"-"
14,3,Activity L,2020-06-27 18:46:33:447,Lisa,normal,normal,"-"
14,4,Activity O,2020-06-27 19:32:21:390,Marilyn,normal,normal,"-"
14,5,Activity M,2020-06-27 20:11:52:218,Jack,normal,normal,"-"
14,6,Activity D,2020-06-27 21:02:35:798,Issac,normal,normal,"-"
14,7,Activity S,2020-06-27 21:50:26:124,Ryan,normal,normal,"-"
14,8,Activity B,2020-06-27 22:11:13:311,Deloras,normal,normal,"-"
14,9,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:06:49:669,Joe,normal,normal,"-"
15,2,Activity BC,2020-06-27 17:42:13:622,Micheline,normal,normal,"-"
15,3,Activity B,2020-06-27 18:37:58:562,Grayce,normal,normal,"-"
15,4,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 17:06:59:669,Micheline,normal,normal,"-"
16,2,Activity T,2020-06-27 17:28:39:847,Grayce,normal,normal,"-"
16,3,Activity AC,2020-06-27 18:19:27:153,Michaele,normal,normal,"-"
16,4,Activity AG,2020-06-27 18:50:51:223,Charles,normal,normal,"-"
16,5,Activity AH,2020-06-27 19:22:34:632,Doretta,normal,normal,"-"
16,6,Activity AD,2020-06-27 20:17:40:539,Brant,normal,normal,"-"
16,7,Activity U,2020-06-27 21:15:55:907,Hannah,normal,normal,"-"
16,8,Activity B,2020-06-27 22:14:05:481,Ronald,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 17:07:09:669,Amanda,normal,normal,"-"
17,2,Activity C,2020-06-27 17:35:28:421,Della,normal,normal,"-"
17,3,Activity G,2020-06-27 18:20:36:932,Clayton,normal,normal,"-"
17,4,Activity K,2020-06-27 19:17:59:826,Sandra,normal,normal,"-"
17,5,Activity H,2020-06-27 20:13:59:248,Keven,normal,normal,"-"
17,6,Activity D,2020-06-27 21:08:25:062,Hassie,normal,normal,"-"
17,7,Activity S,2020-06-27 21:40:10:861,Velda,normal,normal,"-"
17,8,Activity B,2020-06-27 21:58:22:741,Tiffiny,normal,normal,"-"
17,9,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 17:07:19:669,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 17:25:53:719,Lucy,normal,normal,"-"
18,3,Activity L,2020-06-27 18:23:13:128,Pam,normal,normal,"-"
18,4,Activity N,2020-06-27 19:04:30:090,Vickie,normal,normal,"-"
18,5,Activity M,2020-06-27 19:26:59:626,Maryellen,normal,normal,"-"
18,6,Activity D,2020-06-27 20:19:20:121,Issac,normal,normal,"-"
18,7,Activity S,2020-06-27 21:05:45:747,Ryan,normal,normal,"-"
18,8,Activity B,2020-06-27 21:27:19:195,Deloras,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
19,1,Activity A,2020-06-27 17:07:29:669,Frances,normal,normal,"-"
19,2,Activity BD,2020-06-27 17:58:05:507,Lisa,normal,normal,"-"
19,3,Activity BP,2020-06-27 18:44:48:284,Carmella,normal,normal,"-"
19,4,Activity BE,2020-06-27 19:22:33:436,Lisa,normal,normal,"-"
19,5,Activity BQ,2020-06-27 19:41:24:936,Jamika,normal,normal,"-"
19,6,Activity BR,2020-06-27 20:36:41:388,Elisha,normal,normal,"-"
19,7,Activity BU,2020-06-27 21:30:11:594,Clayton,normal,normal,"-"
19,8,Activity BS,2020-06-27 22:13:20:898,Hoyt,normal,normal,"-"
19,9,Activity B,2020-06-27 23:13:13:306,Joe,normal,normal,"-"
19,10,■,,,,,""
20,0,▶,,,,,""
20,1,Activity A,2020-06-27 17:07:39:669,Joe,normal,normal,"-"
20,2,Activity BC,2020-06-27 17:41:26:992,Micheline,normal,normal,"-"
20,3,Activity B,2020-06-27 18:36:07:401,Tiffiny,normal,normal,"-"
20,4,■,,,,,""
21,0,▶,,,,,""
21,1,Activity A,2020-06-27 17:07:49:669,Micheline,normal,normal,"-"
21,2,Activity T,2020-06-27 17:41:10:417,Jack,normal,normal,"-"
21,3,Activity AN,2020-06-27 18:37:05:995,Brian,normal,normal,"-"
21,4,Activity AP,2020-06-27 19:10:28:217,Tiffiny,normal,normal,"-"
21,5,Activity AO,2020-06-27 19:51:49:523,Iluminada,normal,normal,"-"
21,6,Activity U,2020-06-27 20:39:09:194,Hoyt,normal,normal,"-"
21,7,Activity B,2020-06-27 21:30:49:998,Rossie,normal,normal,"-"
21,8,■,,,,,""
22,0,▶,,,,,""
22,1,Activity A,2020-06-27 17:07:59:669,Joe,normal,normal,"-"
22,2,Activity BC,2020-06-27 18:01:42:224,Micheline,normal,normal,"-"
22,3,Activity B,2020-06-27 18:59:30:410,Tiffiny,normal,normal,"-"
22,4,■,,,,,""
23,0,▶,,,,,""
23,1,Activity A,2020-06-27 17:08:09:669,Micheline,normal,normal,"-"
23,2,Activity T,2020-06-27 17:55:32:217,Grayce,normal,normal,"-"
23,3,Activity AC,2020-06-27 18:54:25:511,Ling,normal,normal,"-"
23,4,Activity AE,2020-06-27 19:35:49:900,Amanda,normal,normal,"-"
23,5,Activity AD,2020-06-27 20:22:36:297,Howard,normal,normal,"-"
23,6,Activity U,2020-06-27 21:13:20:707,Rossie,normal,normal,"-"
23,7,Activity B,2020-06-27 22:12:51:142,Joe,normal,normal,"-"
23,8,■,,,,,""
24,0,▶,,,,,""
24,1,Activity A,2020-06-27 17:08:19:669,Micheline,normal,normal,"-"
24,2,Activity T,2020-06-27 17:24:26:638,Jack,normal,normal,"-"
24,3,Activity AN,2020-06-27 18:19:47:738,Micheline,normal,normal,"-"
24,4,Activity AP,2020-06-27 19:16:38:883,Tiffiny,normal,normal,"-"
24,5,Activity AO,2020-06-27 19:47:16:882,Iluminada,normal,normal,"-"
24,6,Activity U,2020-06-27 20:46:17:518,Lisa,normal,normal,"-"
24,7,Activity B,2020-06-27 21:40:31:537,Lucy,normal,normal,"-"
24,8,■,,,,,""
25,0,▶,,,,,""
25,1,Activity A,2020-06-27 17:08:29:669,Carmella,normal,normal,"-"
25,2,Activity BC,2020-06-27 17:48:16:822,Micheline,normal,normal,"-"
25,3,Activity B,2020-06-27 18:43:14:175,Tiffiny,normal,normal,"-"
25,4,■,,,,,""
26,0,▶,,,,,""
26,1,Activity A,2020-06-27 17:08:39:669,Joe,normal,normal,"-"
26,2,Activity BC,2020-06-27 18:03:54:010,Micheline,normal,normal,"-"
26,3,Activity B,2020-06-27 19:02:58:165,Tiffiny,normal,normal,"-"
26,4,■,,,,,""
27,0,▶,,,,,""
27,1,Activity A,2020-06-27 17:08:49:669,Amanda,normal,normal,"-"
27,2,Activity C,2020-06-27 17:39:19:347,Della,normal,normal,"-"
27,3,Activity G,2020-06-27 18:25:57:461,Alyce,normal,normal,"-"
27,4,Activity I,2020-06-27 19:21:40:173,Lannie,normal,normal,"-"
27,5,Activity H,2020-06-27 20:08:49:638,James,normal,normal,"-"
27,6,Activity D,2020-06-27 21:06:21:027,Hassie,normal,normal,"-"
27,7,Activity S,2020-06-27 21:48:06:039,Velda,normal,normal,"-"
27,8,Activity B,2020-06-27 22:45:36:111,Grayce,normal,normal,"-"
27,9,■,,,,,""
28,0,▶,,,,,""
28,1,Activity A,2020-06-27 17:08:59:669,Joe,normal,normal,"-"
28,2,Activity BC,2020-06-27 18:06:04:018,Micheline,normal,normal,"-"
28,3,Activity B,2020-06-27 19:06:02:501,Tiffiny,normal,normal,"-"
28,4,■,,,,,""
29,0,▶,,,,,""
29,1,Activity A,2020-06-27 17:09:09:669,Chan,normal,normal,"-"
29,2,Activity BD,2020-06-27 18:03:18:341,Lisa,normal,normal,"-"
29,3,Activity BP,2020-06-27 18:53:11:089,Carmella,normal,normal,"-"
29,4,Activity BE,2020-06-27 19:32:39:861,Lisa,normal,normal,"-"
29,5,Activity BQ,2020-06-27 19:57:17:140,Jamika,normal,normal,"-"
29,6,Activity BR,2020-06-27 20:52:36:487,Elisha,normal,normal,"-"
29,7,Activity BX,2020-06-27 21:41:40:479,Marilyn,normal,normal,"-"
29,8,Activity BS,2020-06-27 22:08:20:268,Josef,normal,normal,"-"
29,9,Activity B,2020-06-27 22:59:28:932,Amanda,normal,normal,"-"
29,10,■,,,,,""
30,0,▶,,,,,""
30,1,Activity BC,2020-06-27 17:09:19:669,Micheline,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
30,2,Activity B,2020-06-27 17:54:29:372,Tiffiny,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
30,3,■,,,,,""
31,0,▶,,,,,""
31,1,Activity A,2020-06-27 17:09:29:669,Joe,normal,normal,"-"
31,2,Activity BC,2020-06-27 17:58:45:514,Micheline,normal,normal,"-"
31,3,Activity B,2020-06-27 18:44:45:993,Tiffiny,normal,normal,"-"
31,4,■,,,,,""
32,0,▶,,,,,""
32,1,Activity A,2020-06-27 17:09:39:669,Micheline,normal,normal,"-"
32,2,Activity T,2020-06-27 18:03:37:473,Joe,normal,normal,"-"
32,3,Activity V,2020-06-27 18:50:16:553,Lucy,normal,normal,"-"
32,4,Activity X,2020-06-27 19:43:54:792,Carmella,normal,normal,"-"
32,5,Activity W,2020-06-27 20:28:51:086,Ling,normal,normal,"-"
32,6,Activity AB,2020-06-27 21:18:22:661,Issac,normal,normal,"-"
32,7,Activity U,2020-06-27 22:16:15:557,Brian,normal,normal,"-"
32,8,Activity B,2020-06-27 23:13:12:328,Deloras,normal,normal,"-"
32,9,■,,,,,""
33,0,▶,,,,,""
33,1,Activity A,2020-06-27 17:09:49:669,Seth,normal,normal,"-"
33,2,Activity BC,2020-06-27 18:02:45:870,Micheline,normal,normal,"-"
33,3,Activity B,2020-06-27 18:59:32:997,Tiffiny,normal,normal,"-"
33,4,■,,,,,""
34,0,▶,,,,,""
34,1,Activity A,2020-06-27 17:09:59:669,Carmella,normal,normal,"-"
34,2,Activity BC,2020-06-27 17:26:40:483,Micheline,normal,normal,"-"
34,3,Activity B,2020-06-27 18:23:24:058,Tiffiny,normal,normal,"-"
34,4,■,,,,,""
35,0,▶,,,,,""
35,1,Activity A,2020-06-27 17:10:09:669,Jin,normal,normal,"-"
35,2,Activity T,2020-06-27 17:31:17:118,Grayce,normal,normal,"-"
35,3,Activity AC,2020-06-27 18:23:30:344,Lucy,normal,normal,"-"
35,4,Activity AE,2020-06-27 19:12:41:091,Amanda,normal,normal,"-"
35,5,Activity AD,2020-06-27 19:57:41:594,Joe,normal,normal,"-"
35,6,Activity U,2020-06-27 20:48:26:152,Sonia,normal,normal,"-"
35,7,Activity B,2020-06-27 21:34:53:614,Ronald,normal,normal,"-"
35,8,■,,,,,""
36,0,▶,,,,,""
36,1,Activity BZ,2020-06-27 17:10:19:669,Frances,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
36,2,Activity A,2020-06-27 17:39:48:210,Sharee,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
36,3,Activity B,2020-06-27 18:34:37:101,Elisha,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
36,4,■,,,,,""
37,0,▶,,,,,""
37,1,Activity A,2020-06-27 17:10:29:669,Carmella,normal,normal,"-"
37,2,Activity BC,2020-06-27 17:50:13:633,Micheline,normal,normal,"-"
37,3,Activity B,2020-06-27 18:39:19:008,Grayce,normal,normal,"-"
37,4,■,,,,,""
38,0,▶,,,,,""
38,1,Activity A,2020-06-27 17:10:39:669,Joe,normal,normal,"-"
38,2,Activity BC,2020-06-27 17:50:19:381,Micheline,normal,normal,"-"
