case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:28:114,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:07:23:325,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:58:39:892,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:55:30:080,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:29:19:338,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:25:06:556,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:01:55:966,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 14:33:38:114,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 14:51:57:126,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 15:49:56:374,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:48:114,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:24:13:012,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:14:35:474,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:58:114,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:24:17:050,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 16:17:39:231,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:08:114,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:57:24:246,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:54:53:870,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:18:114,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:04:33:500,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:55:00:475,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:28:114,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:50:55:789,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:36:40:214,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:38:114,Amanda,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,2,Activity C,2020-06-27 15:23:33:568,Lisa,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,3,Activity E,2020-06-27 16:13:12:758,Donald,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,4,Activity F,2020-06-27 16:49:26:054,Grayce,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
