case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:28:529,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 15:03:17:428,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:54:11:282,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 16:35:43:477,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:58:50:067,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:51:22:134,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:27:52:606,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 18:43:57:590,Alyce,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:38:529,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,2,Activity L,2020-06-27 14:52:56:344,Howard,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,3,Activity N,2020-06-27 15:40:58:878,Issac,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,4,Activity M,2020-06-27 16:28:31:146,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,5,Activity R,2020-06-27 17:05:50:151,Brant,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,6,Activity AC,2020-06-27 17:52:12:945,Steve,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,7,Activity AH,2020-06-27 18:30:19:944,Hassie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,8,Activity AD,2020-06-27 19:25:59:321,Donald,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,9,Activity S,2020-06-27 20:20:31:708,Lannie,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,10,Activity B,2020-06-27 20:52:59:401,Micheline,normal,anomalous,"{'index': [6, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Howard', 'Craig']}"
2,11,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:48:529,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:00:11:110,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:48:05:890,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:22:44:780,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 16:58:08:899,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:52:30:883,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:27:56:556,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 18:48:35:593,Brant,normal,normal,"-"
3,9,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:58:529,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:51:42:996,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:39:12:691,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:32:50:023,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:56:18:710,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:54:48:711,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:36:50:663,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 19:22:58:210,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 20:20:38:207,Alyce,normal,normal,"-"
4,10,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:08:529,Micheline,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,2,Activity L,2020-06-27 15:34:03:724,Howard,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,3,Activity N,2020-06-27 16:29:43:072,Sharee,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,4,Activity M,2020-06-27 17:11:17:602,Steve,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,5,Activity R,2020-06-27 17:28:16:678,Amanda,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,6,Activity W,2020-06-27 18:13:56:057,Chan,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,7,Activity AB,2020-06-27 19:07:06:239,Junior,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,8,Activity X,2020-06-27 19:30:06:866,Ryan,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,9,Activity S,2020-06-27 20:19:15:368,Keven,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,10,Activity B,2020-06-27 21:03:57:444,Hoyt,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Issac']}"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:18:529,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:52:48:382,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:39:15:984,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:21:51:509,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 17:02:15:085,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 18:00:41:701,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 18:45:54:292,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:15:19:373,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:08:00:199,Alyce,normal,normal,"-"
6,10,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:28:529,Ronald,normal,normal,"-"
7,2,Activity AI,2020-06-27 15:05:21:784,Pam,normal,normal,"-"
7,3,Activity AP,2020-06-27 16:03:45:556,Chan,normal,normal,"-"
7,4,Activity AQ,2020-06-27 16:50:57:303,Jamika,normal,normal,"-"
7,5,Activity AR,2020-06-27 17:36:17:110,Lucy,normal,normal,"-"
7,6,Activity AS,2020-06-27 18:31:17:036,Josef,normal,normal,"-"
7,7,Activity AJ,2020-06-27 19:23:57:872,Donald,normal,normal,"-"
7,8,Activity B,2020-06-27 20:09:26:799,Alyce,normal,normal,"-"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:38:529,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 15:06:35:639,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 16:05:21:596,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:38:15:157,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 17:10:23:977,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 18:02:38:766,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 18:56:10:121,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 19:50:06:530,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 20:39:39:199,Alyce,normal,normal,"-"
8,10,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:48:529,Micheline,normal,normal,"-"
9,2,Activity L,2020-06-27 14:51:02:176,Howard,normal,normal,"-"
9,3,Activity N,2020-06-27 15:44:41:876,Ryan,normal,normal,"-"
9,4,Activity M,2020-06-27 16:39:44:378,Steve,normal,normal,"-"
9,5,Activity R,2020-06-27 17:02:34:344,Melany,normal,normal,"-"
9,6,Activity V,2020-06-27 17:58:05:270,Jimmy,normal,normal,"-"
9,7,Activity S,2020-06-27 18:42:52:530,Sonia,normal,normal,"-"
9,8,Activity B,2020-06-27 19:01:54:044,Alyce,normal,normal,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:58:529,Micheline,normal,normal,"-"
10,2,Activity L,2020-06-27 15:27:09:721,Donald,normal,normal,"-"
10,3,Activity P,2020-06-27 16:15:44:589,Deloras,normal,normal,"-"
10,4,Activity Q,2020-06-27 16:50:49:350,Donald,normal,normal,"-"
10,5,Activity M,2020-06-27 17:43:01:691,Howard,normal,normal,"-"
10,6,Activity R,2020-06-27 18:29:36:307,Joe,normal,normal,"-"
10,7,Activity AC,2020-06-27 19:25:19:059,Roseanne,normal,normal,"-"
10,8,Activity AF,2020-06-27 20:25:06:304,Gema,normal,normal,"-"
10,9,Activity AD,2020-06-27 21:22:37:667,Ling,normal,normal,"-"
10,10,Activity S,2020-06-27 22:20:09:114,Jack,normal,normal,"-"
10,11,Activity B,2020-06-27 23:10:51:564,Alyce,normal,normal,"-"
10,12,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:35:08:529,Ronald,normal,normal,"-"
11,2,Activity AI,2020-06-27 15:21:35:341,Lisa,normal,normal,"-"
11,3,Activity AL,2020-06-27 16:13:00:661,Rossana,normal,normal,"-"
11,4,Activity AM,2020-06-27 16:47:04:062,Marilyn,normal,normal,"-"
11,5,Activity AN,2020-06-27 17:11:02:782,Vickie,normal,normal,"-"
11,6,Activity AO,2020-06-27 18:10:00:960,Evelin,normal,normal,"-"
11,7,Activity AJ,2020-06-27 18:58:21:331,Charles,normal,normal,"-"
11,8,Activity B,2020-06-27 19:37:16:748,Brant,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:35:18:529,Velda,normal,normal,"-"
12,2,Activity AI,2020-06-27 15:08:29:927,Pam,normal,normal,"-"
12,3,Activity AP,2020-06-27 16:04:42:262,Chan,normal,normal,"-"
12,4,Activity AQ,2020-06-27 16:35:34:213,Jamika,normal,normal,"-"
12,5,Activity AR,2020-06-27 17:20:09:769,Lucy,normal,normal,"-"
12,6,Activity AS,2020-06-27 18:06:27:975,Clayton,normal,normal,"-"
12,7,Activity AJ,2020-06-27 18:52:29:111,Ling,normal,normal,"-"
12,8,Activity B,2020-06-27 19:22:32:014,Brant,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:35:28:529,Amanda,normal,normal,"-"
13,2,Activity C,2020-06-27 14:58:18:942,Hannah,normal,normal,"-"
13,3,Activity D,2020-06-27 15:50:35:334,Hugo,normal,normal,"-"
13,4,Activity E,2020-06-27 16:27:43:601,Lannie,normal,normal,"-"
13,5,Activity H,2020-06-27 16:56:39:174,Keven,normal,normal,"-"
13,6,Activity F,2020-06-27 17:56:04:714,Jimmy,normal,normal,"-"
13,7,Activity J,2020-06-27 18:35:55:576,Ryan,normal,normal,"-"
13,8,Activity K,2020-06-27 19:05:14:108,Tiffiny,normal,normal,"-"
13,9,Activity B,2020-06-27 20:03:55:187,Alyce,normal,normal,"-"
13,10,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:35:38:529,Steve,normal,normal,"-"
14,2,Activity C,2020-06-27 15:07:26:064,Hannah,normal,normal,"-"
14,3,Activity D,2020-06-27 16:04:15:819,Hugo,normal,normal,"-"
