case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:03:02:831,Velda,normal,normal,"-"
1,2,Activity AI,2020-06-27 14:25:16:745,Sharee,normal,normal,"-"
1,3,Activity AL,2020-06-27 15:21:29:224,Rossana,normal,normal,"-"
1,4,Activity AM,2020-06-27 15:59:50:360,Marilyn,normal,normal,"-"
1,5,Activity AN,2020-06-27 16:36:23:287,Vickie,normal,normal,"-"
1,6,Activity AO,2020-06-27 17:24:33:512,Jack,normal,normal,"-"
1,7,Activity AJ,2020-06-27 18:05:24:919,Donald,normal,normal,"-"
1,8,Activity B,2020-06-27 18:53:20:670,Alyce,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity N,2020-06-27 14:03:12:831,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,2,Activity M,2020-06-27 14:30:12:438,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,3,Activity R,2020-06-27 15:20:58:164,Brant,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,4,Activity AC,2020-06-27 16:00:41:345,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,5,Activity A,2020-06-27 16:24:50:221,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,6,Activity L,2020-06-27 17:22:50:653,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,7,Activity AH,2020-06-27 17:54:16:719,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,8,Activity AD,2020-06-27 18:37:04:546,Craig,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,9,Activity S,2020-06-27 19:30:41:168,Lannie,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,10,Activity B,2020-06-27 20:14:37:137,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 4, 'size': 2}"
2,11,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:03:22:831,Ronald,normal,normal,"-"
3,2,Activity AI,2020-06-27 15:02:56:291,Pam,normal,normal,"-"
3,3,Activity AP,2020-06-27 15:47:57:708,Chan,normal,normal,"-"
3,4,Activity AQ,2020-06-27 16:18:27:791,Jamika,normal,normal,"-"
3,5,Activity AR,2020-06-27 16:56:48:107,Jack,normal,normal,"-"
3,6,Activity AS,2020-06-27 17:56:16:538,Anna,normal,normal,"-"
3,7,Activity AJ,2020-06-27 18:43:17:108,Ling,normal,normal,"-"
3,8,Activity B,2020-06-27 19:16:22:177,Brant,normal,normal,"-"
3,9,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:03:32:831,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:47:02:196,Hannah,normal,normal,"-"
4,3,Activity D,2020-06-27 15:36:00:430,Hugo,normal,normal,"-"
4,4,Activity E,2020-06-27 16:11:43:799,Lannie,normal,normal,"-"
4,5,Activity H,2020-06-27 16:54:15:591,James,normal,normal,"-"
4,6,Activity F,2020-06-27 17:51:21:618,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:34:58:047,Grayce,normal,normal,"-"
4,8,Activity K,2020-06-27 18:52:35:505,Issac,normal,normal,"-"
4,9,Activity B,2020-06-27 19:49:25:185,Alyce,normal,normal,"-"
4,10,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:03:42:831,Micheline,normal,normal,"-"
5,2,Activity L,2020-06-27 14:53:28:789,Howard,normal,normal,"-"
5,3,Activity N,2020-06-27 15:39:01:232,Issac,normal,normal,"-"
5,4,Activity M,2020-06-27 16:21:13:163,Steve,normal,normal,"-"
5,5,Activity R,2020-06-27 16:39:04:193,Amanda,normal,normal,"-"
5,6,Activity W,2020-06-27 17:33:22:748,Chan,normal,normal,"-"
5,7,Activity AB,2020-06-27 18:04:32:079,Junior,normal,normal,"-"
5,8,Activity X,2020-06-27 18:29:53:037,Ryan,normal,normal,"-"
5,9,Activity S,2020-06-27 19:20:29:146,Keven,normal,normal,"-"
5,10,Activity B,2020-06-27 19:58:06:149,Hoyt,normal,normal,"-"
5,11,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:03:52:831,Steve,normal,normal,"-"
6,2,Activity C,2020-06-27 14:52:31:156,Hannah,normal,normal,"-"
6,3,Activity D,2020-06-27 15:48:27:526,Hugo,normal,normal,"-"
6,4,Activity E,2020-06-27 16:33:57:630,Brant,normal,normal,"-"
6,5,Activity G,2020-06-27 16:55:54:182,Alpha,normal,normal,"-"
6,6,Activity F,2020-06-27 17:54:02:417,Jimmy,normal,normal,"-"
6,7,Activity J,2020-06-27 18:41:36:711,Tiffiny,normal,normal,"-"
6,8,Activity K,2020-06-27 19:25:27:533,Sherell,normal,normal,"-"
6,9,Activity B,2020-06-27 20:13:59:753,Alyce,normal,normal,"-"
6,10,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity AP,2020-06-27 14:04:02:831,Chan,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,2,Activity AQ,2020-06-27 14:35:12:088,Jamika,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,3,Activity AR,2020-06-27 15:21:56:705,Lucy,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,4,Activity AS,2020-06-27 15:54:38:102,Josef,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,5,Activity AJ,2020-06-27 16:37:10:582,Donald,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,6,Activity A,2020-06-27 17:27:07:085,Ronald,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,7,Activity AI,2020-06-27 18:19:40:229,Pam,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,8,Activity B,2020-06-27 18:56:09:959,Alyce,normal,anomalous,"{'shift_from': 0, 'shift_to': 5, 'size': 2}"
7,9,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:04:12:831,Doretta,normal,normal,"-"
8,2,Activity C,2020-06-27 14:46:48:139,Hannah,normal,normal,"-"
8,3,Activity D,2020-06-27 15:34:33:835,Hugo,normal,normal,"-"
8,4,Activity E,2020-06-27 16:14:05:889,Lannie,normal,normal,"-"
8,5,Activity H,2020-06-27 16:43:14:391,Josef,normal,normal,"-"
8,6,Activity F,2020-06-27 17:31:36:776,Sandra,normal,normal,"-"
8,7,Activity J,2020-06-27 18:01:52:413,Tiffiny,normal,normal,"-"
8,8,Activity K,2020-06-27 18:51:23:059,Ryan,normal,normal,"-"
8,9,Activity B,2020-06-27 19:48:21:383,Alyce,normal,normal,"-"
8,10,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity L,2020-06-27 14:04:22:831,Howard,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,2,Activity N,2020-06-27 14:46:43:379,Ryan,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,3,Activity A,2020-06-27 15:41:10:826,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,4,Activity M,2020-06-27 16:36:14:047,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,5,Activity R,2020-06-27 16:52:07:686,Melany,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
9,6,Activity V,2020-06-27 17:43:29:046,Jimmy,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 1}"
