case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:34:080,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:54:04:935,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:44:40:140,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:15:14:139,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:04:46:638,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:00:25:312,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:44:22:760,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:31:21:631,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:22:48:151,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:02:27:513,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:39:31:040,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:44:080,Johnny,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,2,Activity C,2020-06-27 17:26:15:961,Roseanne,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,3,Activity D,2020-06-27 18:25:53:251,Elisha,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,4,Activity E,2020-06-27 18:57:33:223,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,5,Activity H,2020-06-27 19:18:32:268,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,6,Activity F,2020-06-27 20:14:06:499,Brian,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,7,Activity I,2020-06-27 21:10:58:870,Ling,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,8,Activity O,2020-06-27 21:28:45:457,Rossana,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,9,Activity P,2020-06-27 22:20:59:901,Wilton,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,10,Activity J,2020-06-27 23:05:57:740,Sherlene,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,11,Activity B,2020-06-27 23:25:02:280,Sherell,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:54:080,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 18:03:48:522,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:57:09:056,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:27:12:618,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 20:03:25:554,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:52:28:807,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:35:17:142,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 22:32:42:643,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 23:26:37:176,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-28 00:17:51:642,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:54:40:647,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 01:42:48:516,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:04:080,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:33:47:018,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:20:35:109,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:10:46:269,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 19:45:19:616,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 20:30:49:464,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:25:33:362,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 22:08:37:371,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 23:03:10:430,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 23:58:34:386,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:22:09:153,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 00:47:11:573,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:14:080,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 17:23:13:177,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 18:09:19:555,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 19:00:49:323,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 19:29:52:773,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 20:28:18:569,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 21:07:44:525,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 21:28:02:309,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 22:19:36:762,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 22:51:30:194,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 23:47:42:115,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-28 00:14:44:118,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
