case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:02:56:843,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:54:10:882,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:43:46:179,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:30:44:753,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:51:59:521,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:37:49:044,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:19:29:627,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:10:54:437,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:05:43:204,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:43:09:971,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:21:47:841,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:03:06:843,Johnny,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,2,Activity C,2020-06-27 14:46:06:577,Roseanne,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,3,Activity D,2020-06-27 15:31:15:009,Elisha,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,4,Activity E,2020-06-27 16:06:34:560,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,5,Activity H,2020-06-27 17:03:42:192,Josef,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,6,Activity F,2020-06-27 17:55:44:539,Brian,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,7,Activity I,2020-06-27 18:47:26:537,Ling,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,8,Activity O,2020-06-27 19:24:30:368,Rossana,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,9,Activity P,2020-06-27 20:23:00:995,Wilton,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,10,Activity J,2020-06-27 21:04:58:151,Sherlene,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,11,Activity B,2020-06-27 21:33:10:750,Sherell,normal,anomalous,"{'index': [2], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Alpha']}"
2,12,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:03:16:843,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 14:46:25:589,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:31:28:847,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:19:46:629,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 16:57:57:895,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:45:50:292,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:17:17:949,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:01:43:331,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 19:50:47:193,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 20:27:50:133,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:26:13:943,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:15:24:940,Della,normal,normal,"-"
3,13,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:03:26:843,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 14:49:27:763,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 15:36:04:888,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:12:39:437,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 16:46:47:893,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 17:34:57:915,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 18:32:09:916,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 18:55:35:262,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 19:42:19:935,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 20:34:19:464,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 21:16:25:747,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:07:03:152,Hoyt,normal,normal,"-"
4,13,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:03:36:843,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 14:21:06:479,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 15:06:26:186,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 15:42:17:891,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 16:08:18:284,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 17:03:21:719,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 17:59:40:786,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 18:54:58:824,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 19:40:01:595,Alyce,normal,normal,"-"
