case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:24:317,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:18:43:972,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:05:41:348,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:41:24:797,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:25:13:226,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:16:43:927,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:50:01:529,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:06:16:714,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:56:11:111,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:35:49:432,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:08:50:271,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:34:317,Johnny,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,2,Activity C,2020-06-27 14:58:19:339,Roseanne,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,3,Activity D,2020-06-27 15:52:31:432,Alpha,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,4,Activity E,2020-06-27 16:43:32:828,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,5,Activity H,2020-06-27 17:43:21:999,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,6,Activity O,2020-06-27 18:28:25:080,Rossana,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,7,Activity F,2020-06-27 19:01:34:379,Brian,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,8,Activity I,2020-06-27 19:46:16:005,Ling,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,9,Activity P,2020-06-27 20:41:52:084,Wilton,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,10,Activity J,2020-06-27 21:38:13:366,Sherlene,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,11,Activity B,2020-06-27 22:05:54:363,Sherell,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:44:317,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:11:48:937,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 16:03:08:924,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:43:24:236,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 17:21:39:626,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 18:13:28:825,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 19:00:15:480,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:19:01:438,Sandra,normal,normal,"-"
