case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:02:42:827,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 14:23:41:176,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:13:10:621,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 15:49:37:033,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 16:40:58:330,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 17:29:25:271,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:20:17:978,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 18:58:11:474,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 19:52:46:166,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 20:44:28:529,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 21:27:31:834,Della,normal,normal,"-"
1,12,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:02:52:827,Johnny,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,2,Activity C,2020-06-27 14:58:41:864,Roseanne,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,3,Activity D,2020-06-27 15:51:23:732,Alpha,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,4,Activity E,2020-06-27 16:37:18:950,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,5,Activity H,2020-06-27 17:13:06:248,Josef,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,6,Activity O,2020-06-27 17:59:34:970,Rossana,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,7,Activity F,2020-06-27 18:52:55:497,Brian,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,8,Activity I,2020-06-27 19:32:33:716,Ling,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
2,9,Activity P,2020-06-27 20:30:27:137,Wilton,normal,anomalous,"{'shift_from': 8, 'shift_to': 5, 'size': 1}"
