case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:32:684,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 18:01:22:881,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:52:39:177,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:39:45:977,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:13:31:965,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:00:10:513,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 21:33:27:449,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:21:09:626,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:09:05:480,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:02:01:685,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:42:12:141,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:42:684,Johnny,normal,anomalous,"-"
2,2,Activity C,2020-06-27 17:48:38:032,Roseanne,normal,anomalous,"-"
2,3,Random activity 16,2020-06-27 18:35:18:024,Random user 39,normal,anomalous,"-"
2,4,Activity D,2020-06-27 19:14:45:734,Alpha,normal,anomalous,"-"
2,5,Activity E,2020-06-27 19:33:39:309,Josef,normal,anomalous,"-"
2,6,Activity H,2020-06-27 20:28:58:237,Josef,normal,anomalous,"-"
2,7,Activity F,2020-06-27 21:25:25:132,Brian,normal,anomalous,"-"
2,8,Activity I,2020-06-27 22:13:17:546,Ling,normal,anomalous,"-"
2,9,Activity O,2020-06-27 23:02:56:167,Rossana,normal,anomalous,"-"
2,10,Activity P,2020-06-27 23:49:25:074,Wilton,normal,anomalous,"-"
2,11,Activity J,2020-06-28 00:31:08:331,Sherlene,normal,anomalous,"-"
2,12,Activity B,2020-06-28 01:12:52:979,Sherell,normal,anomalous,"-"
2,13,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:52:684,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:52:51:918,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:41:04:654,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:12:34:124,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:56:09:954,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:46:55:865,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:21:20:622,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 21:51:28:802,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 22:38:44:441,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 23:16:54:521,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-28 00:07:36:662,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-28 00:28:15:551,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:02:684,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 17:49:45:469,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 18:39:07:826,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 19:12:02:926,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 19:52:10:379,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 20:44:20:767,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 21:35:44:622,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 21:50:58:118,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 22:50:33:857,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 23:41:55:300,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-28 00:03:05:969,Keven,normal,normal,"-"
4,12,Activity B,2020-06-28 00:50:48:002,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:12:684,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 17:35:49:336,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 18:28:18:866,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 19:10:49:367,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 19:49:29:628,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 20:43:04:066,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 21:33:03:993,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 21:48:15:504,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 22:46:51:623,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 23:37:45:647,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 23:56:21:743,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-28 00:30:15:248,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:22:684,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 17:30:32:396,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 18:24:34:933,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 19:22:18:845,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 20:17:47:410,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 21:14:32:966,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 22:11:06:155,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 22:44:23:285,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 23:33:29:702,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-28 00:25:13:759,Chan,normal,normal,"-"
6,11,Activity B,2020-06-28 01:03:22:568,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:32:684,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 18:05:06:949,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 18:56:41:236,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 19:37:54:306,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 19:53:10:089,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 20:51:57:733,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 21:24:43:388,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 22:10:09:371,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 23:08:28:285,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 23:54:34:225,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-28 00:21:58:214,Johnny,normal,normal,"-"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:42:684,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 17:40:37:907,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 18:38:48:781,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 19:23:50:802,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 19:53:47:474,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 20:39:29:318,Brian,normal,normal,"-"
8,7,Activity I,2020-06-27 21:14:14:976,Velda,normal,normal,"-"
8,8,Activity K,2020-06-27 21:42:27:864,Charles,normal,normal,"-"
8,9,Activity L,2020-06-27 22:38:25:595,Micheline,normal,normal,"-"
8,10,Activity J,2020-06-27 23:21:06:175,Alyce,normal,normal,"-"
8,11,Activity B,2020-06-27 23:56:26:119,Della,normal,normal,"-"
8,12,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:05:52:684,Keven,normal,anomalous,"{'indices': [1, 5]}"
9,2,Random activity 39,2020-06-27 17:53:52:456,Random user 53,normal,anomalous,"{'indices': [1, 5]}"
9,3,Activity C,2020-06-27 18:39:26:646,Roseanne,normal,anomalous,"{'indices': [1, 5]}"
9,4,Activity D,2020-06-27 19:17:42:286,Alpha,normal,anomalous,"{'indices': [1, 5]}"
9,5,Activity E,2020-06-27 20:16:08:934,Josef,normal,anomalous,"{'indices': [1, 5]}"
9,6,Random activity 22,2020-06-27 21:15:15:620,Random user 60,normal,anomalous,"{'indices': [1, 5]}"
9,7,Activity H,2020-06-27 21:55:13:758,Lourdes,normal,anomalous,"{'indices': [1, 5]}"
9,8,Activity F,2020-06-27 22:31:35:652,Brian,normal,anomalous,"{'indices': [1, 5]}"
9,9,Activity I,2020-06-27 23:28:29:452,Della,normal,anomalous,"{'indices': [1, 5]}"
9,10,Activity M,2020-06-28 00:07:43:604,Hannah,normal,anomalous,"{'indices': [1, 5]}"
9,11,Activity N,2020-06-28 00:44:45:557,Ronald,normal,anomalous,"{'indices': [1, 5]}"
9,12,Activity J,2020-06-28 01:42:32:280,Sherlene,normal,anomalous,"{'indices': [1, 5]}"
9,13,Activity B,2020-06-28 02:09:59:565,Sherell,normal,anomalous,"{'indices': [1, 5]}"
9,14,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:06:02:684,Sherlene,normal,anomalous,"-"
10,2,Activity AB,2020-06-27 17:21:44:924,Brant,normal,anomalous,"-"
10,3,Activity AF,2020-06-27 18:17:17:023,Steve,normal,anomalous,"-"
10,4,Activity AC,2020-06-27 19:03:54:584,Brant,normal,anomalous,"-"
10,5,Activity AG,2020-06-27 19:45:13:008,Clayton,normal,anomalous,"-"
10,6,Activity AJ,2020-06-27 20:44:25:459,James,normal,anomalous,"-"
10,7,Activity AH,2020-06-27 21:41:18:141,Emily,normal,anomalous,"-"
10,8,Activity AL,2020-06-27 22:02:27:866,Ronald,normal,anomalous,"-"
10,9,Random activity 21,2020-06-27 22:50:39:394,Random user 68,normal,anomalous,"-"
10,10,Activity AO,2020-06-27 23:39:57:209,Ronald,normal,anomalous,"-"
10,11,Activity AM,2020-06-28 00:20:34:649,Brant,normal,anomalous,"-"
10,12,Activity AP,2020-06-28 01:19:40:562,Keven,normal,anomalous,"-"
10,13,Activity B,2020-06-28 02:07:38:832,Junior,normal,anomalous,"-"
10,14,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:06:12:684,Lourdes,normal,normal,"-"
11,2,Activity Q,2020-06-27 17:55:35:778,Roseanne,normal,normal,"-"
11,3,Activity R,2020-06-27 18:52:19:084,Howard,normal,normal,"-"
11,4,Activity S,2020-06-27 19:34:53:669,Sandra,normal,normal,"-"
11,5,Activity T,2020-06-27 20:01:18:985,Howard,normal,normal,"-"
11,6,Activity U,2020-06-27 21:00:19:231,Shandi,normal,normal,"-"
11,7,Activity V,2020-06-27 21:54:46:180,Donald,normal,normal,"-"
11,8,Activity X,2020-06-27 22:15:49:139,Ryan,normal,normal,"-"
11,9,Activity W,2020-06-27 23:04:59:591,Frances,normal,normal,"-"
11,10,Activity B,2020-06-27 23:55:32:657,Alyce,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:06:22:684,Tiffiny,normal,normal,"-"
12,2,Activity C,2020-06-27 17:47:53:491,Roseanne,normal,normal,"-"
12,3,Activity D,2020-06-27 18:35:47:865,Alpha,normal,normal,"-"
12,4,Activity E,2020-06-27 19:25:30:082,Josef,normal,normal,"-"
12,5,Activity H,2020-06-27 20:19:52:902,Lourdes,normal,normal,"-"
12,6,Activity F,2020-06-27 21:16:44:134,Brian,normal,normal,"-"
12,7,Activity I,2020-06-27 22:09:31:906,Wilton,normal,normal,"-"
12,8,Activity O,2020-06-27 22:59:17:708,Sherell,normal,normal,"-"
12,9,Activity P,2020-06-27 23:53:23:523,Johnny,normal,normal,"-"
12,10,Activity J,2020-06-28 00:32:46:959,Chan,normal,normal,"-"
12,11,Activity B,2020-06-28 01:25:25:406,Carmella,normal,normal,"-"
12,12,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 17:06:32:684,Doretta,normal,normal,"-"
13,2,Activity AB,2020-06-27 17:54:31:074,Josef,normal,normal,"-"
13,3,Activity AE,2020-06-27 18:43:10:542,Doretta,normal,normal,"-"
13,4,Activity AC,2020-06-27 19:20:39:771,Brant,normal,normal,"-"
13,5,Activity AG,2020-06-27 20:08:42:290,Lucy,normal,normal,"-"
13,6,Activity AI,2020-06-27 20:54:11:975,Amanda,normal,normal,"-"
13,7,Activity AH,2020-06-27 21:52:52:543,Issac,normal,normal,"-"
13,8,Activity AL,2020-06-27 22:45:15:311,Earl,normal,normal,"-"
13,9,Activity AN,2020-06-27 23:45:05:801,Alyce,normal,normal,"-"
13,10,Activity AM,2020-06-28 00:20:09:670,Lannie,normal,normal,"-"
13,11,Activity AP,2020-06-28 00:45:42:452,Deloras,normal,normal,"-"
13,12,Activity B,2020-06-28 01:15:52:966,Carmella,normal,normal,"-"
13,13,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 17:06:42:684,Sherlene,normal,normal,"-"
14,2,Activity AB,2020-06-27 17:47:40:006,Junior,normal,normal,"-"
14,3,Activity AF,2020-06-27 18:34:54:879,Steve,normal,normal,"-"
14,4,Activity AC,2020-06-27 19:20:55:301,Brant,normal,normal,"-"
14,5,Activity AG,2020-06-27 20:06:08:623,Ling,normal,normal,"-"
14,6,Activity AI,2020-06-27 20:59:14:210,Amanda,normal,normal,"-"
14,7,Activity AH,2020-06-27 21:44:45:663,Doretta,normal,normal,"-"
14,8,Activity AL,2020-06-27 22:26:46:844,Sherlene,normal,normal,"-"
14,9,Activity AN,2020-06-27 23:18:53:173,Jack,normal,normal,"-"
14,10,Activity AM,2020-06-27 23:59:45:667,Hannah,normal,normal,"-"
14,11,Activity AP,2020-06-28 00:24:32:628,Pam,normal,normal,"-"
14,12,Activity B,2020-06-28 01:09:55:627,Sherell,normal,normal,"-"
14,13,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 17:06:52:684,Sandra,normal,normal,"-"
15,2,Activity Q,2020-06-27 17:44:46:296,Grayce,normal,normal,"-"
15,3,Activity R,2020-06-27 18:30:11:053,Howard,normal,normal,"-"
15,4,Activity S,2020-06-27 19:30:04:023,Sandra,normal,normal,"-"
15,5,Activity T,2020-06-27 19:49:24:648,Howard,normal,normal,"-"
15,6,Activity U,2020-06-27 20:45:12:488,Shandi,normal,normal,"-"
15,7,Activity V,2020-06-27 21:41:04:595,Frances,normal,normal,"-"
15,8,Activity Y,2020-06-27 22:13:35:613,Lourdes,normal,normal,"-"
15,9,Activity W,2020-06-27 22:59:55:750,Steve,normal,normal,"-"
15,10,Activity B,2020-06-27 23:37:45:657,Alyce,normal,normal,"-"
