case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:29:938,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:29:21:207,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:23:33:338,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 17:08:03:217,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:25:17:570,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:13:27:833,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 18:53:46:449,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:53:03:276,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:50:38:773,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:42:25:567,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:01:40:723,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:39:938,Johnny,normal,anomalous,"-"
2,2,Activity C,2020-06-27 15:14:20:551,Roseanne,normal,anomalous,"-"
2,3,Random activity 16,2020-06-27 16:00:49:197,Random user 39,normal,anomalous,"-"
2,4,Activity D,2020-06-27 16:44:20:358,Alpha,normal,anomalous,"-"
2,5,Activity E,2020-06-27 17:06:47:569,Josef,normal,anomalous,"-"
2,6,Activity H,2020-06-27 18:06:15:326,Josef,normal,anomalous,"-"
2,7,Activity F,2020-06-27 18:57:28:010,Brian,normal,anomalous,"-"
2,8,Activity I,2020-06-27 19:49:28:228,Ling,normal,anomalous,"-"
2,9,Activity O,2020-06-27 20:44:12:047,Rossana,normal,anomalous,"-"
2,10,Activity P,2020-06-27 21:31:59:912,Wilton,normal,anomalous,"-"
2,11,Activity J,2020-06-27 22:04:17:418,Sherlene,normal,anomalous,"-"
2,12,Activity B,2020-06-27 22:21:09:450,Sherell,normal,anomalous,"-"
2,13,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:49:938,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 15:09:56:979,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:58:08:889,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:39:43:117,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 16:56:17:850,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:42:57:442,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:42:47:608,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:08:57:393,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 19:57:51:596,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 20:47:58:146,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:38:15:339,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:05:00:788,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:59:938,Jamika,normal,normal,"-"
4,2,Activity AB,2020-06-27 15:06:42:303,Brant,normal,normal,"-"
4,3,Activity AF,2020-06-27 16:00:43:507,Steve,normal,normal,"-"
4,4,Activity AC,2020-06-27 16:40:46:136,Brant,normal,normal,"-"
4,5,Activity AG,2020-06-27 17:40:20:255,Lucy,normal,normal,"-"
4,6,Activity AI,2020-06-27 18:37:56:822,Amanda,normal,normal,"-"
4,7,Activity AH,2020-06-27 19:13:39:095,Issac,normal,normal,"-"
4,8,Activity AL,2020-06-27 20:07:17:264,Sherlene,normal,normal,"-"
4,9,Activity AN,2020-06-27 20:55:30:630,Clayton,normal,normal,"-"
4,10,Activity AM,2020-06-27 21:28:10:863,Howard,normal,normal,"-"
4,11,Activity AP,2020-06-27 21:49:35:435,Keven,normal,normal,"-"
4,12,Activity B,2020-06-27 22:15:06:599,Hoyt,normal,normal,"-"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:09:938,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 14:54:33:170,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 15:43:48:207,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 16:15:24:012,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 16:33:51:915,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 17:29:34:183,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 18:06:12:496,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 18:46:34:396,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 19:45:24:847,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 20:29:13:487,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 21:06:43:073,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-27 21:25:28:344,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:19:938,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 15:05:50:553,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:56:45:958,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:35:35:428,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 17:12:46:377,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 17:59:09:720,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:43:04:493,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 19:33:42:939,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:26:26:032,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 21:12:56:135,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 21:36:33:743,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:29:938,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 15:19:07:242,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 16:13:23:785,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:50:12:330,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 17:24:40:936,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 18:10:46:307,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:45:21:867,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 19:42:25:732,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 20:39:56:563,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 21:13:46:196,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 21:49:13:908,Johnny,normal,normal,"-"
7,12,■,,,,,""
