case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:34:902,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 17:50:10:575,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 18:43:01:819,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 19:29:46:461,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 20:12:17:847,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 21:04:25:898,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 22:01:56:998,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 22:56:33:228,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 23:50:52:790,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-28 00:21:10:976,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-28 00:53:33:946,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:44:902,Johnny,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,2,Activity C,2020-06-27 17:38:23:253,Roseanne,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,3,Activity D,2020-06-27 18:24:07:571,Alpha,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,4,Activity E,2020-06-27 18:59:07:949,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,5,Activity H,2020-06-27 19:31:05:512,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,6,Activity I,2020-06-27 20:26:26:437,Ling,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,7,Activity O,2020-06-27 21:23:00:639,Rossana,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,8,Activity F,2020-06-27 22:02:53:084,Brian,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,9,Activity P,2020-06-27 23:00:01:303,Wilton,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,10,Activity J,2020-06-27 23:57:43:146,Sherlene,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,11,Activity B,2020-06-28 00:27:28:785,Sherell,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:54:902,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 17:28:46:196,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 18:21:56:218,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 19:18:29:999,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 19:52:01:449,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 20:41:21:170,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 21:22:22:250,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 21:46:24:130,Sandra,normal,normal,"-"
