case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:31:568,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:00:08:564,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 15:56:52:866,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:48:03:590,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:47:27:498,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:34:36:765,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:34:32:258,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 19:55:31:010,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:53:34:265,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:51:45:574,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:41:22:135,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:41:568,Johnny,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,2,Activity C,2020-06-27 15:26:32:205,Roseanne,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,3,Activity D,2020-06-27 16:18:28:635,Alpha,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,4,Activity E,2020-06-27 16:53:27:474,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,5,Activity H,2020-06-27 17:53:23:663,Josef,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,6,Activity I,2020-06-27 18:40:28:476,Ling,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,7,Activity O,2020-06-27 19:35:06:730,Rossana,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,8,Activity F,2020-06-27 20:30:40:617,Brian,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,9,Activity P,2020-06-27 21:17:52:706,Wilton,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,10,Activity J,2020-06-27 22:07:16:068,Sherlene,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,11,Activity B,2020-06-27 22:26:19:556,Sherell,normal,anomalous,"{'shift_from': 5, 'shift_to': 7, 'size': 1}"
2,12,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:51:568,Doretta,normal,normal,"-"
3,2,Activity AB,2020-06-27 14:50:56:898,Junior,normal,normal,"-"
3,3,Activity AF,2020-06-27 15:44:07:253,Steve,normal,normal,"-"
3,4,Activity AC,2020-06-27 16:38:03:075,Brant,normal,normal,"-"
3,5,Activity AG,2020-06-27 16:59:18:340,Chan,normal,normal,"-"
3,6,Activity AJ,2020-06-27 17:57:23:128,James,normal,normal,"-"
3,7,Activity AH,2020-06-27 18:45:56:170,Emily,normal,normal,"-"
3,8,Activity AL,2020-06-27 19:38:56:756,Sandra,normal,normal,"-"
3,9,Activity AO,2020-06-27 20:34:38:432,Wilton,normal,normal,"-"
3,10,Activity AM,2020-06-27 21:29:57:718,Paul,normal,normal,"-"
3,11,Activity AP,2020-06-27 21:45:30:112,Sharee,normal,normal,"-"
3,12,Activity B,2020-06-27 22:33:08:893,Della,normal,normal,"-"
3,13,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:01:568,Jamika,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,2,Activity AB,2020-06-27 15:14:32:503,Brant,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,3,Activity AF,2020-06-27 16:12:10:293,Steve,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,4,Activity AI,2020-06-27 16:57:05:215,Amanda,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,5,Activity AH,2020-06-27 17:53:08:720,Issac,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,6,Activity AL,2020-06-27 18:46:30:417,Sherlene,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,7,Activity AN,2020-06-27 19:25:34:043,Clayton,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,8,Activity AC,2020-06-27 20:07:27:743,Brant,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,9,Activity AG,2020-06-27 20:58:12:396,Lucy,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,10,Activity AM,2020-06-27 21:58:07:708,Howard,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,11,Activity AP,2020-06-27 22:30:09:320,Keven,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,12,Activity B,2020-06-27 23:20:24:144,Hoyt,normal,anomalous,"{'shift_from': 3, 'shift_to': 7, 'size': 2}"
4,13,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:11:568,Doretta,normal,normal,"-"
5,2,Activity AB,2020-06-27 15:17:28:333,Junior,normal,normal,"-"
5,3,Activity AF,2020-06-27 16:10:33:183,Steve,normal,normal,"-"
5,4,Activity AC,2020-06-27 16:43:53:783,Brant,normal,normal,"-"
5,5,Activity AG,2020-06-27 17:22:37:255,Chan,normal,normal,"-"
5,6,Activity AJ,2020-06-27 18:08:28:795,Micheline,normal,normal,"-"
5,7,Activity AH,2020-06-27 18:55:58:740,Brian,normal,normal,"-"
5,8,Activity AL,2020-06-27 19:41:45:664,Earl,normal,normal,"-"
5,9,Activity AN,2020-06-27 20:32:14:799,Alyce,normal,normal,"-"
5,10,Activity AM,2020-06-27 21:05:39:189,Iluminada,normal,normal,"-"
5,11,Activity AP,2020-06-27 21:44:36:559,Jamika,normal,normal,"-"
5,12,Activity B,2020-06-27 22:19:10:374,Shandi,normal,normal,"-"
5,13,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:21:568,Keven,normal,normal,"-"
6,2,Activity C,2020-06-27 14:57:16:199,Roseanne,normal,normal,"-"
6,3,Activity D,2020-06-27 15:46:38:898,Alpha,normal,normal,"-"
6,4,Activity E,2020-06-27 16:35:49:999,Brian,normal,normal,"-"
6,5,Activity G,2020-06-27 16:58:51:168,Sandra,normal,normal,"-"
6,6,Activity F,2020-06-27 17:58:01:317,Brian,normal,normal,"-"
6,7,Activity I,2020-06-27 18:47:20:907,Shandi,normal,normal,"-"
6,8,Activity O,2020-06-27 19:40:54:806,Melany,normal,normal,"-"
6,9,Activity P,2020-06-27 20:31:42:077,Johnny,normal,normal,"-"
6,10,Activity J,2020-06-27 21:02:03:115,Chan,normal,normal,"-"
6,11,Activity B,2020-06-27 21:32:25:909,Carmella,normal,normal,"-"
6,12,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:31:568,Tiffiny,normal,normal,"-"
7,2,Activity C,2020-06-27 14:51:24:685,Roseanne,normal,normal,"-"
7,3,Activity D,2020-06-27 15:39:31:647,Alpha,normal,normal,"-"
7,4,Activity E,2020-06-27 16:31:10:817,Josef,normal,normal,"-"
7,5,Activity H,2020-06-27 16:53:03:180,Lourdes,normal,normal,"-"
7,6,Activity F,2020-06-27 17:39:39:794,Brian,normal,normal,"-"
7,7,Activity I,2020-06-27 18:20:59:048,Della,normal,normal,"-"
7,8,Activity M,2020-06-27 19:07:20:888,Hannah,normal,normal,"-"
7,9,Activity N,2020-06-27 19:58:35:911,Jimmy,normal,normal,"-"
7,10,Activity J,2020-06-27 20:32:22:351,Sonia,normal,normal,"-"
7,11,Activity B,2020-06-27 20:54:10:879,Johnny,normal,normal,"-"
7,12,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:41:568,Johnny,normal,normal,"-"
8,2,Activity C,2020-06-27 15:33:11:049,Roseanne,normal,normal,"-"
8,3,Activity D,2020-06-27 16:26:51:545,Alpha,normal,normal,"-"
8,4,Activity E,2020-06-27 17:14:10:105,Josef,normal,normal,"-"
8,5,Activity H,2020-06-27 17:31:16:195,Lourdes,normal,normal,"-"
8,6,Activity F,2020-06-27 18:21:22:904,Brian,normal,normal,"-"
8,7,Activity I,2020-06-27 19:08:23:200,Velda,normal,normal,"-"
8,8,Activity K,2020-06-27 19:52:40:403,Charles,normal,normal,"-"
8,9,Activity L,2020-06-27 20:49:26:469,Micheline,normal,normal,"-"
8,10,Activity J,2020-06-27 21:19:56:852,Alyce,normal,normal,"-"
8,11,Activity B,2020-06-27 22:09:41:345,Della,normal,normal,"-"
8,12,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:51:568,Keven,normal,normal,"-"
9,2,Activity C,2020-06-27 15:29:57:000,Roseanne,normal,normal,"-"
9,3,Activity D,2020-06-27 16:28:56:211,Alpha,normal,normal,"-"
9,4,Activity E,2020-06-27 17:08:10:793,Josef,normal,normal,"-"
9,5,Activity H,2020-06-27 17:50:42:480,Lourdes,normal,normal,"-"
9,6,Activity F,2020-06-27 18:38:07:695,Brian,normal,normal,"-"
9,7,Activity I,2020-06-27 19:13:15:238,Della,normal,normal,"-"
9,8,Activity M,2020-06-27 20:06:54:109,Hannah,normal,normal,"-"
9,9,Activity N,2020-06-27 20:51:54:703,Ronald,normal,normal,"-"
9,10,Activity J,2020-06-27 21:50:17:927,Sherlene,normal,normal,"-"
9,11,Activity B,2020-06-27 22:12:59:088,Sherell,normal,normal,"-"
9,12,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:35:01:568,Sherlene,normal,normal,"-"
10,2,Activity AB,2020-06-27 14:53:15:002,Brant,normal,normal,"-"
10,3,Activity AF,2020-06-27 15:50:51:787,Steve,normal,normal,"-"
10,4,Activity AC,2020-06-27 16:27:39:791,Brant,normal,normal,"-"
10,5,Activity AG,2020-06-27 16:47:54:921,Clayton,normal,normal,"-"
10,6,Activity AJ,2020-06-27 17:36:57:281,James,normal,normal,"-"
10,7,Activity AH,2020-06-27 18:14:36:642,Emily,normal,normal,"-"
10,8,Activity AL,2020-06-27 19:10:46:954,Ronald,normal,normal,"-"
10,9,Activity AO,2020-06-27 19:57:59:790,Ronald,normal,normal,"-"
10,10,Activity AM,2020-06-27 20:46:57:293,Brant,normal,normal,"-"
10,11,Activity AP,2020-06-27 21:12:00:888,Keven,normal,normal,"-"
10,12,Activity B,2020-06-27 21:43:57:798,Junior,normal,normal,"-"
10,13,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:35:11:568,Lourdes,normal,normal,"-"
11,2,Activity Q,2020-06-27 15:01:09:432,Roseanne,normal,normal,"-"
11,3,Activity R,2020-06-27 15:59:43:510,Howard,normal,normal,"-"
11,4,Activity S,2020-06-27 16:56:28:604,Sandra,normal,normal,"-"
11,5,Activity T,2020-06-27 17:37:40:688,Howard,normal,normal,"-"
11,6,Activity U,2020-06-27 18:22:48:791,Shandi,normal,normal,"-"
11,7,Activity V,2020-06-27 18:53:54:619,Donald,normal,normal,"-"
11,8,Activity X,2020-06-27 19:49:20:453,Ryan,normal,normal,"-"
11,9,Activity W,2020-06-27 20:44:54:616,Frances,normal,normal,"-"
11,10,Activity B,2020-06-27 21:16:04:404,Alyce,normal,normal,"-"
11,11,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:35:21:568,Tiffiny,normal,normal,"-"
12,2,Activity C,2020-06-27 15:10:52:587,Roseanne,normal,normal,"-"
12,3,Activity D,2020-06-27 15:57:07:841,Alpha,normal,normal,"-"
12,4,Activity E,2020-06-27 16:38:48:725,Josef,normal,normal,"-"
12,5,Activity H,2020-06-27 16:54:11:143,Lourdes,normal,normal,"-"
12,6,Activity F,2020-06-27 17:43:39:494,Brian,normal,normal,"-"
12,7,Activity I,2020-06-27 18:35:31:030,Wilton,normal,normal,"-"
12,8,Activity O,2020-06-27 19:23:53:223,Sherell,normal,normal,"-"
12,9,Activity P,2020-06-27 20:13:55:771,Johnny,normal,normal,"-"
12,10,Activity J,2020-06-27 20:45:59:343,Chan,normal,normal,"-"
12,11,Activity B,2020-06-27 21:22:24:534,Carmella,normal,normal,"-"
12,12,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:35:31:568,Doretta,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,2,Activity AC,2020-06-27 15:04:19:321,Brant,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,3,Activity AG,2020-06-27 15:56:41:835,Lucy,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,4,Activity AI,2020-06-27 16:41:25:534,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,5,Activity AB,2020-06-27 17:40:29:407,Josef,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,6,Activity AE,2020-06-27 18:27:24:182,Doretta,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,7,Activity AH,2020-06-27 19:15:41:421,Issac,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,8,Activity AL,2020-06-27 19:30:41:714,Earl,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,9,Activity AN,2020-06-27 20:26:37:831,Alyce,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,10,Activity AM,2020-06-27 21:22:52:356,Lannie,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,11,Activity AP,2020-06-27 21:53:45:286,Deloras,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,12,Activity B,2020-06-27 22:29:34:187,Carmella,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 2}"
13,13,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:35:41:568,Sherlene,normal,normal,"-"
14,2,Activity AB,2020-06-27 15:06:11:184,Junior,normal,normal,"-"
14,3,Activity AF,2020-06-27 15:52:07:274,Steve,normal,normal,"-"
14,4,Activity AC,2020-06-27 16:29:53:323,Brant,normal,normal,"-"
14,5,Activity AG,2020-06-27 17:11:46:764,Ling,normal,normal,"-"
14,6,Activity AI,2020-06-27 18:04:29:732,Amanda,normal,normal,"-"
14,7,Activity AH,2020-06-27 18:40:19:820,Doretta,normal,normal,"-"
14,8,Activity AL,2020-06-27 19:36:08:485,Sherlene,normal,normal,"-"
14,9,Activity AN,2020-06-27 20:31:53:894,Jack,normal,normal,"-"
14,10,Activity AM,2020-06-27 21:30:06:139,Hannah,normal,normal,"-"
14,11,Activity AP,2020-06-27 22:26:31:488,Pam,normal,normal,"-"
14,12,Activity B,2020-06-27 23:08:21:828,Sherell,normal,normal,"-"
14,13,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:35:51:568,Sandra,normal,normal,"-"
15,2,Activity Q,2020-06-27 15:28:47:642,Grayce,normal,normal,"-"
15,3,Activity R,2020-06-27 16:26:44:623,Howard,normal,normal,"-"
15,4,Activity S,2020-06-27 17:01:55:536,Sandra,normal,normal,"-"
15,5,Activity T,2020-06-27 17:21:46:418,Howard,normal,normal,"-"
15,6,Activity U,2020-06-27 18:19:28:203,Shandi,normal,normal,"-"
15,7,Activity V,2020-06-27 19:17:55:522,Frances,normal,normal,"-"
15,8,Activity Y,2020-06-27 19:40:03:162,Lourdes,normal,normal,"-"
15,9,Activity W,2020-06-27 20:36:11:642,Steve,normal,normal,"-"
15,10,Activity B,2020-06-27 21:26:54:989,Alyce,normal,normal,"-"
15,11,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:36:01:568,Doretta,normal,normal,"-"
16,2,Activity AB,2020-06-27 15:25:20:759,Tiffiny,normal,normal,"-"
16,3,Activity AD,2020-06-27 16:16:47:221,Hugo,normal,normal,"-"
16,4,Activity AC,2020-06-27 17:02:56:410,Brant,normal,normal,"-"
16,5,Activity AG,2020-06-27 17:54:48:987,Amanda,normal,normal,"-"
