case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:31:888,Johnny,normal,normal,"-"
1,2,Activity C,2020-06-27 15:29:20:443,Roseanne,normal,normal,"-"
1,3,Activity D,2020-06-27 16:14:23:252,Alpha,normal,normal,"-"
1,4,Activity E,2020-06-27 16:57:35:543,Brian,normal,normal,"-"
1,5,Activity G,2020-06-27 17:45:51:552,Sandra,normal,normal,"-"
1,6,Activity F,2020-06-27 18:34:51:853,Brian,normal,normal,"-"
1,7,Activity I,2020-06-27 19:26:15:290,Hassie,normal,normal,"-"
1,8,Activity O,2020-06-27 20:02:39:986,Rossana,normal,normal,"-"
1,9,Activity P,2020-06-27 20:49:37:943,Wilton,normal,normal,"-"
1,10,Activity J,2020-06-27 21:30:21:092,Alyce,normal,normal,"-"
1,11,Activity B,2020-06-27 22:29:39:398,Della,normal,normal,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:41:888,Johnny,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
2,2,Activity C,2020-06-27 14:48:46:093,Roseanne,normal,anomalous,"{'size': 3, 'start': 8, 'inserted': [{'name': 'Activity F', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Brian'}}, {'name': 'Activity I', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Ling'}}, {'name': 'Activity O', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Rossana'}}]}"
