case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:35:970,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:41:42:468,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:27:15:341,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:23:09:370,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:52:36:210,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:40:11:045,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:17:05:137,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:11:10:610,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:45:970,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:37:51:877,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:33:28:979,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:23:55:039,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 20:13:48:485,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 21:04:18:106,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:42:23:646,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:55:970,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:59:39:764,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:52:23:110,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:05:970,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:46:47:702,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:38:22:502,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:16:12:702,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 20:12:19:885,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:58:24:440,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:46:17:531,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 22:04:48:576,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:15:970,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:47:10:887,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:35:22:228,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:12:41:266,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 20:10:22:380,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 21:04:01:917,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 22:02:21:946,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:26:10:941,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:25:970,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:32:42:424,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:31:17:151,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 19:06:12:112,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 19:36:24:693,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 20:27:53:329,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 21:19:59:514,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:35:970,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 18:02:49:128,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 19:02:00:541,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:56:41:964,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 20:22:24:430,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 21:10:01:866,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:47:01:441,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:45:970,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 18:01:13:802,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 19:00:04:399,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity O,2020-06-27 17:05:55:970,Ronald,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,2,Activity A,2020-06-27 17:25:16:574,Keven,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,3,Activity U,2020-06-27 18:14:24:686,Velda,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,4,Activity X,2020-06-27 18:48:35:148,Pam,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,5,Activity V,2020-06-27 19:13:18:640,Maryellen,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,6,Activity P,2020-06-27 20:06:50:000,Ryan,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,7,Activity B,2020-06-27 21:03:36:593,Alpha,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:06:05:970,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 17:43:50:838,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 18:31:58:777,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 17:06:15:970,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 17:41:09:932,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 18:38:43:305,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 19:35:01:319,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 20:34:49:148,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 21:28:05:264,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 22:20:43:892,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 23:08:36:298,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 17:06:25:970,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 18:04:16:291,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 19:03:06:990,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 19:36:25:085,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 20:29:56:311,Pam,normal,normal,"-"
