case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:03:00:076,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:48:23:334,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:34:00:043,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:05:26:256,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 16:40:19:128,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 17:27:04:867,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 17:58:16:485,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 18:21:05:293,Michaele,normal,normal,"-"
1,9,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:03:10:076,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:35:53:855,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:35:09:959,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:06:34:314,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:03:56:161,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 18:02:30:342,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:53:44:028,Alpha,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:03:20:076,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:50:46:205,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:49:52:951,Michaele,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:03:30:076,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 14:41:09:422,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:33:51:011,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:16:49:589,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 16:41:28:616,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:38:06:070,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:09:03:847,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 18:37:14:935,Carmella,normal,normal,"-"
4,9,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:03:40:076,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:57:48:165,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:47:11:699,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:27:56:897,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:20:14:848,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:20:05:014,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:10:30:846,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:43:07:811,Michaele,normal,normal,"-"
5,9,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:03:50:076,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 14:34:01:578,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:19:49:759,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:06:38:695,Jin,normal,normal,"-"
