case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:37:270,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:41:35:342,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:34:42:067,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:24:16:395,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 20:04:51:046,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:51:59:787,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:33:36:340,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:20:36:632,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:47:270,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:22:55:357,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:17:26:653,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 18:59:25:848,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:31:03:441,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:21:54:280,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:08:19:959,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:57:270,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:40:01:956,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:25:57:339,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:07:270,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:23:25:034,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:20:11:246,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 19:05:14:772,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:27:03:416,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 20:20:44:035,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 21:04:10:092,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 21:49:49:426,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:17:270,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 18:04:48:882,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:59:07:587,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:32:15:022,Deloras,normal,normal,"-"
