case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:26:612,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 17:21:00:640,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 18:07:34:483,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 19:06:31:670,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 19:39:31:859,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 20:37:59:297,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 21:34:48:766,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 22:01:55:184,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:36:612,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 17:39:20:818,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 18:31:16:381,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 19:30:44:605,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 19:52:59:300,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 20:49:57:688,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 21:28:09:181,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:46:612,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 17:59:07:015,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 18:48:04:578,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:04:56:612,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 17:20:53:180,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 18:08:16:309,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 18:42:56:702,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 19:00:00:909,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 19:54:53:230,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 20:26:05:471,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 20:53:05:290,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:06:612,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 17:56:06:456,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 18:53:43:927,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 19:40:03:016,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 19:55:50:437,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 20:41:28:929,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 21:30:49:546,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 22:14:21:145,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:16:612,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 17:30:15:358,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 18:20:44:567,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 18:54:25:097,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 19:11:31:537,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 19:57:27:719,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 20:44:19:846,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:26:612,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 17:46:50:134,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 18:34:20:136,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 19:15:34:983,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 19:56:30:710,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 20:42:08:701,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 21:36:54:352,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:36:612,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 17:53:19:288,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 18:50:00:941,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity O,2020-06-27 17:05:46:612,Ronald,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,2,Activity A,2020-06-27 17:28:58:704,Keven,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,3,Activity U,2020-06-27 18:27:55:776,Velda,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,4,Activity X,2020-06-27 19:22:36:186,Pam,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,5,Activity V,2020-06-27 20:09:40:023,Maryellen,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,6,Activity P,2020-06-27 21:01:53:810,Ryan,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,7,Activity B,2020-06-27 22:01:32:119,Alpha,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:05:56:612,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 18:00:57:910,Johnny,normal,normal,"-"
