case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:26:297,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:16:39:712,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 16:02:53:475,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 17:01:30:877,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:42:27:769,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:33:22:704,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:20:09:345,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:38:43:885,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:36:297,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 14:51:26:662,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:37:29:278,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:15:14:474,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:06:07:663,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:52:16:740,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:40:04:752,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:46:297,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:24:01:541,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:16:15:694,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:56:297,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:21:28:278,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:18:10:910,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:57:01:611,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:32:44:783,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:21:31:335,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 19:07:02:207,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:51:08:176,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:06:297,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:54:24:893,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:40:48:039,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:29:25:341,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:48:05:125,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:35:50:246,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:09:53:051,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 18:35:39:845,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:16:297,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:21:37:471,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:14:36:909,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:54:47:279,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:23:39:945,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:19:03:764,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:08:52:046,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:26:297,Rossana,normal,normal,"-"
