case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:32:796,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 14:49:26:249,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:46:50:539,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:34:01:015,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:26:51:613,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:13:54:211,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 19:12:00:270,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:55:20:678,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:42:796,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:14:05:299,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 15:59:19:618,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 16:38:09:107,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 17:07:28:999,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 17:57:54:966,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 18:46:14:129,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:52:796,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 15:22:52:629,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 16:19:59:815,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:02:796,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:00:26:959,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 15:50:22:894,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:35:47:188,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:02:13:754,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 17:52:16:794,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:34:02:108,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:25:13:296,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:12:796,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 14:56:29:255,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 15:44:23:323,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:38:19:027,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 16:54:11:929,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 17:43:32:405,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 18:26:40:565,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 18:43:27:496,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:22:796,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:22:07:334,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 16:10:55:840,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:47:20:215,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:47:12:116,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:40:31:321,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:31:26:985,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:32:796,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:10:49:548,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 15:56:57:639,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 16:46:30:636,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:30:56:671,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:27:36:442,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:09:29:387,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:42:796,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 14:53:28:549,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 15:43:03:508,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity O,2020-06-27 14:34:52:796,Ronald,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}]}"
9,2,Activity U,2020-06-27 15:30:47:238,Velda,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}]}"
9,3,Activity X,2020-06-27 16:28:57:214,Pam,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Keven'}}]}"
