case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:26:476,Doretta,normal,normal,"-"
1,2,Activity C,2020-06-27 15:03:56:672,Jack,normal,normal,"-"
1,3,Activity F,2020-06-27 15:50:58:223,Howard,normal,normal,"-"
1,4,Activity D,2020-06-27 16:30:08:438,Wilton,normal,normal,"-"
1,5,Activity I,2020-06-27 17:19:21:584,Maryellen,normal,normal,"-"
1,6,Activity K,2020-06-27 18:05:14:008,Issac,normal,normal,"-"
1,7,Activity J,2020-06-27 18:35:38:788,Velda,normal,normal,"-"
1,8,Activity B,2020-06-27 19:04:37:000,Michaele,normal,normal,"-"
1,9,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:36:476,Rossana,normal,normal,"-"
2,2,Activity O,2020-06-27 15:23:31:523,Ronald,normal,normal,"-"
2,3,Activity U,2020-06-27 16:11:05:042,Velda,normal,normal,"-"
2,4,Activity X,2020-06-27 17:10:05:492,Pam,normal,normal,"-"
2,5,Activity V,2020-06-27 18:07:59:200,Maryellen,normal,normal,"-"
2,6,Activity P,2020-06-27 19:05:32:670,Ryan,normal,normal,"-"
2,7,Activity B,2020-06-27 19:47:28:762,Alpha,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:46:476,Shandi,normal,normal,"-"
3,2,Activity Y,2020-06-27 14:56:34:411,Marilyn,normal,normal,"-"
3,3,Activity B,2020-06-27 15:48:56:764,Michaele,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:56:476,Steve,normal,normal,"-"
4,2,Activity C,2020-06-27 15:13:36:914,Keven,normal,normal,"-"
4,3,Activity G,2020-06-27 16:07:00:329,Steve,normal,normal,"-"
4,4,Activity D,2020-06-27 16:48:40:601,Emily,normal,normal,"-"
4,5,Activity I,2020-06-27 17:23:16:216,Keven,normal,normal,"-"
4,6,Activity L,2020-06-27 18:21:08:159,Sandra,normal,normal,"-"
4,7,Activity J,2020-06-27 18:52:24:790,Gema,normal,normal,"-"
4,8,Activity B,2020-06-27 19:33:51:711,Carmella,normal,normal,"-"
4,9,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:06:476,Doretta,normal,normal,"-"
5,2,Activity C,2020-06-27 15:17:17:644,Della,normal,normal,"-"
5,3,Activity G,2020-06-27 16:15:23:471,Steve,normal,normal,"-"
5,4,Activity D,2020-06-27 16:50:26:801,Deloras,normal,normal,"-"
5,5,Activity I,2020-06-27 17:36:46:062,Howard,normal,normal,"-"
5,6,Activity M,2020-06-27 18:25:12:311,Howard,normal,normal,"-"
5,7,Activity J,2020-06-27 19:00:14:753,Brian,normal,normal,"-"
5,8,Activity B,2020-06-27 19:51:29:285,Michaele,normal,normal,"-"
5,9,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:16:476,Keven,normal,normal,"-"
6,2,Activity O,2020-06-27 15:11:14:916,Brian,normal,normal,"-"
6,3,Activity U,2020-06-27 15:57:02:179,Velda,normal,normal,"-"
6,4,Activity X,2020-06-27 16:44:24:840,Jin,normal,normal,"-"
6,5,Activity V,2020-06-27 17:33:52:245,Maryellen,normal,normal,"-"
6,6,Activity P,2020-06-27 18:23:15:477,Ryan,normal,normal,"-"
6,7,Activity B,2020-06-27 19:17:40:340,Maryellen,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:26:476,Rossana,normal,normal,"-"
7,2,Activity O,2020-06-27 15:32:18:412,Ronald,normal,normal,"-"
7,3,Activity U,2020-06-27 16:22:25:829,Jimmy,normal,normal,"-"
7,4,Activity W,2020-06-27 17:03:30:211,Evelin,normal,normal,"-"
7,5,Activity V,2020-06-27 17:29:42:215,Jamika,normal,normal,"-"
7,6,Activity P,2020-06-27 18:24:57:929,Ryan,normal,normal,"-"
7,7,Activity B,2020-06-27 19:04:48:658,Alpha,normal,normal,"-"
7,8,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:36:476,Micheline,normal,normal,"-"
8,2,Activity Y,2020-06-27 15:25:04:321,Johnny,normal,normal,"-"
8,3,Activity B,2020-06-27 16:13:52:247,Michaele,normal,normal,"-"
8,4,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:34:46:476,Keven,normal,anomalous,"-"
9,2,Activity O,2020-06-27 15:34:16:636,Ronald,normal,anomalous,"-"
9,3,Activity U,2020-06-27 16:32:48:968,Velda,normal,anomalous,"-"
9,4,Random activity 17,2020-06-27 17:29:36:647,Random user 43,normal,anomalous,"-"
9,5,Activity X,2020-06-27 18:22:54:603,Pam,normal,anomalous,"-"
9,6,Activity V,2020-06-27 19:15:56:339,Maryellen,normal,anomalous,"-"
9,7,Activity P,2020-06-27 20:14:35:972,Ryan,normal,anomalous,"-"
9,8,Activity B,2020-06-27 20:39:12:626,Alpha,normal,anomalous,"-"
9,9,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:34:56:476,Shandi,normal,normal,"-"
10,2,Activity Y,2020-06-27 15:17:24:256,Johnny,normal,normal,"-"
10,3,Activity B,2020-06-27 16:04:18:890,Michaele,normal,normal,"-"
10,4,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:35:06:476,Doretta,normal,normal,"-"
11,2,Activity C,2020-06-27 14:50:54:652,Wilton,normal,normal,"-"
11,3,Activity F,2020-06-27 15:43:35:800,Howard,normal,normal,"-"
11,4,Activity D,2020-06-27 16:35:32:335,Keven,normal,normal,"-"
11,5,Activity I,2020-06-27 16:50:42:231,Maryellen,normal,normal,"-"
11,6,Activity K,2020-06-27 17:50:20:274,Velda,normal,normal,"-"
11,7,Activity J,2020-06-27 18:28:40:883,Jamika,normal,normal,"-"
11,8,Activity B,2020-06-27 19:20:14:070,Michaele,normal,normal,"-"
11,9,■,,,,,""
12,0,▶,,,,,""
12,1,Activity A,2020-06-27 14:35:16:476,Doretta,normal,normal,"-"
12,2,Activity C,2020-06-27 15:07:59:446,Della,normal,normal,"-"
12,3,Activity G,2020-06-27 15:54:43:909,Steve,normal,normal,"-"
12,4,Activity D,2020-06-27 16:26:08:926,Deloras,normal,normal,"-"
12,5,Activity I,2020-06-27 17:19:27:031,Pam,normal,normal,"-"
12,6,Activity K,2020-06-27 18:15:27:617,Velda,normal,normal,"-"
12,7,Activity J,2020-06-27 19:01:52:566,Doretta,normal,normal,"-"
12,8,Activity B,2020-06-27 19:19:57:466,Sherlene,normal,normal,"-"
12,9,■,,,,,""
13,0,▶,,,,,""
13,1,Activity A,2020-06-27 14:35:26:476,Rossana,normal,normal,"-"
13,2,Activity O,2020-06-27 14:55:39:567,Melany,normal,normal,"-"
13,3,Activity S,2020-06-27 15:46:22:336,Doretta,normal,normal,"-"
13,4,Activity T,2020-06-27 16:39:49:339,Velda,normal,normal,"-"
13,5,Activity P,2020-06-27 17:25:51:567,Jin,normal,normal,"-"
13,6,Activity B,2020-06-27 18:18:01:897,Sherell,normal,normal,"-"
13,7,■,,,,,""
14,0,▶,,,,,""
14,1,Activity A,2020-06-27 14:35:36:476,Micheline,normal,normal,"-"
14,2,Activity Y,2020-06-27 14:58:12:794,Ling,normal,normal,"-"
14,3,Activity B,2020-06-27 15:48:26:023,Michaele,normal,normal,"-"
14,4,■,,,,,""
15,0,▶,,,,,""
15,1,Activity A,2020-06-27 14:35:46:476,Doretta,normal,normal,"-"
15,2,Activity C,2020-06-27 14:55:55:841,Maryellen,normal,normal,"-"
15,3,Activity G,2020-06-27 15:49:53:665,Steve,normal,normal,"-"
15,4,Activity D,2020-06-27 16:42:32:739,Emily,normal,normal,"-"
15,5,Activity I,2020-06-27 17:09:54:233,Iluminada,normal,normal,"-"
15,6,Activity K,2020-06-27 17:59:04:597,Velda,normal,normal,"-"
15,7,Activity J,2020-06-27 18:46:24:538,Jamika,normal,normal,"-"
15,8,Activity B,2020-06-27 19:28:07:708,Michaele,normal,normal,"-"
15,9,■,,,,,""
16,0,▶,,,,,""
16,1,Activity A,2020-06-27 14:35:56:476,Steve,normal,normal,"-"
16,2,Activity C,2020-06-27 15:13:32:300,Keven,normal,normal,"-"
16,3,Activity G,2020-06-27 16:00:54:938,Steve,normal,normal,"-"
16,4,Activity D,2020-06-27 16:59:09:737,Deloras,normal,normal,"-"
16,5,Activity I,2020-06-27 17:22:37:627,Keven,normal,normal,"-"
16,6,Activity L,2020-06-27 18:19:58:696,Keven,normal,normal,"-"
16,7,Activity J,2020-06-27 19:17:22:817,Gema,normal,normal,"-"
16,8,Activity B,2020-06-27 19:38:42:534,Carmella,normal,normal,"-"
16,9,■,,,,,""
17,0,▶,,,,,""
17,1,Activity A,2020-06-27 14:36:06:476,Keven,normal,normal,"-"
17,2,Activity O,2020-06-27 15:12:19:471,Melany,normal,normal,"-"
17,3,Activity S,2020-06-27 16:09:15:442,Doretta,normal,normal,"-"
17,4,Activity T,2020-06-27 17:00:02:508,Velda,normal,normal,"-"
17,5,Activity P,2020-06-27 17:59:57:520,Seth,normal,normal,"-"
17,6,Activity B,2020-06-27 18:49:09:280,Sherlene,normal,normal,"-"
17,7,■,,,,,""
18,0,▶,,,,,""
18,1,Activity A,2020-06-27 14:36:16:476,Steve,normal,normal,"-"
18,2,Activity C,2020-06-27 15:08:12:852,Della,normal,normal,"-"
18,3,Activity G,2020-06-27 16:05:22:359,Steve,normal,normal,"-"
18,4,Activity D,2020-06-27 17:05:18:522,Emily,normal,normal,"-"
18,5,Activity I,2020-06-27 17:42:11:188,Melany,normal,normal,"-"
18,6,Activity K,2020-06-27 18:31:08:212,Issac,normal,normal,"-"
18,7,Activity J,2020-06-27 19:07:03:814,Brian,normal,normal,"-"
18,8,Activity B,2020-06-27 19:41:26:927,Michaele,normal,normal,"-"
18,9,■,,,,,""
19,0,▶,,,,,""
