case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:02:48:127,Sherlene,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,2,Activity B,2020-06-27 14:36:31:531,Earl,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,3,Activity C,2020-06-27 15:29:04:563,Brant,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,4,Activity D,2020-06-27 16:24:58:541,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,5,Activity E,2020-06-27 16:53:34:005,Hugo,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,6,Activity G,2020-06-27 17:46:26:312,Lourdes,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,7,Activity H,2020-06-27 18:40:48:924,Hoyt,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,8,Activity I,2020-06-27 19:39:46:410,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,9,Activity J,2020-06-27 20:27:11:861,Sonia,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,10,Activity F,2020-06-27 21:08:06:252,Howard,normal,anomalous,"{'index': [7], 'attribute_index': [0], 'attribute': ['user'], 'original': ['Jack']}"
1,11,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:02:58:127,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:00:22:167,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:50:56:608,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:33:20:205,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:04:02:202,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 17:56:39:190,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:43:39:613,Lisa,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:03:08:127,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:31:32:021,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:20:40:339,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 15:51:41:617,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:45:44:850,Tiffiny,normal,normal,"-"
