case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:25:429,Sherlene,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,2,Activity B,2020-06-27 17:22:56:103,Earl,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,3,Activity H,2020-06-27 18:11:02:331,Hoyt,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,4,Activity C,2020-06-27 18:59:11:447,Brant,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,5,Activity D,2020-06-27 19:58:18:516,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,6,Activity E,2020-06-27 20:51:13:692,Hugo,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,7,Activity G,2020-06-27 21:24:55:743,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,8,Activity I,2020-06-27 21:52:19:948,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,9,Activity J,2020-06-27 22:50:10:038,Sonia,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,10,Activity F,2020-06-27 23:20:34:308,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:35:429,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:25:43:442,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:12:42:634,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:09:18:621,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:08:54:843,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:06:38:854,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:52:24:539,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:45:429,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:26:12:472,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:16:16:440,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 18:54:06:864,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:25:46:511,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:24:38:396,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:02:45:459,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 21:45:44:947,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 22:42:54:115,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:30:16:937,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:04:55:429,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:54:04:099,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:46:55:255,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:34:44:270,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:25:52:678,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:13:01:497,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:44:06:027,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:31:16:565,Sonia,normal,normal,"-"
