case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:25:567,Sherlene,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,2,Activity B,2020-06-27 15:28:37:853,Earl,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,3,Activity H,2020-06-27 16:21:08:796,Hoyt,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,4,Activity C,2020-06-27 17:07:12:163,Brant,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,5,Activity D,2020-06-27 17:33:01:506,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,6,Activity E,2020-06-27 18:18:48:010,Hugo,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,7,Activity G,2020-06-27 19:10:37:589,Lourdes,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,8,Activity I,2020-06-27 19:28:15:042,Jack,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,9,Activity J,2020-06-27 20:20:30:124,Sonia,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,10,Activity F,2020-06-27 21:16:05:131,Howard,normal,anomalous,"{'shift_from': 7, 'shift_to': 2, 'size': 1}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:35:567,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:56:21:999,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:53:35:839,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:43:19:808,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:32:46:292,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:26:20:740,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:25:23:632,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:45:567,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:26:17:295,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 16:24:11:065,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 17:17:30:085,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 17:59:57:110,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 18:59:37:591,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 19:39:15:383,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 20:20:23:161,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 21:19:02:946,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 22:13:04:580,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:55:567,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:06:31:941,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:05:47:837,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:41:24:208,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:09:24:519,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 17:56:42:499,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:26:51:029,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:05:01:091,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 19:59:50:969,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 20:48:54:960,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:05:567,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:32:07:594,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:19:49:032,James,normal,normal,"-"
5,4,Activity D,2020-06-27 16:49:56:028,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 17:24:25:602,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 18:13:27:721,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:04:47:187,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 19:48:00:661,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 20:47:07:364,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:21:35:706,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity E,2020-06-27 14:34:15:567,Paul,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,2,Activity T,2020-06-27 15:24:29:259,Ryan,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,3,Activity A,2020-06-27 16:18:24:360,Sherlene,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,4,Activity B,2020-06-27 17:15:49:496,Doretta,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,5,Activity C,2020-06-27 18:03:36:206,Brant,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,6,Activity D,2020-06-27 18:51:39:080,Lourdes,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,7,Activity F,2020-06-27 19:27:42:100,Lisa,normal,anomalous,"{'shift_from': 6, 'shift_to': 0, 'size': 2}"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:34:25:567,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 15:14:48:879,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 16:11:38:768,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 17:08:43:937,Lourdes,normal,normal,"-"
7,5,Activity E,2020-06-27 18:06:00:877,Hugo,normal,normal,"-"
7,6,Activity G,2020-06-27 18:51:25:605,Lourdes,normal,normal,"-"
7,7,Activity H,2020-06-27 19:46:52:786,Hoyt,normal,normal,"-"
7,8,Activity I,2020-06-27 20:28:11:242,Jack,normal,normal,"-"
7,9,Activity J,2020-06-27 21:18:11:415,Sonia,normal,normal,"-"
7,10,Activity F,2020-06-27 21:56:50:827,Howard,normal,normal,"-"
7,11,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:34:35:567,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 15:02:55:254,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 15:52:53:637,Brant,normal,normal,"-"
