case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:27:790,Sherlene,normal,anomalous,"-"
1,2,Activity B,2020-06-27 17:47:06:838,Earl,normal,anomalous,"-"
1,3,Activity C,2020-06-27 18:44:43:071,Brant,normal,anomalous,"-"
1,4,Activity D,2020-06-27 19:24:38:385,Lourdes,normal,anomalous,"-"
1,5,Activity E,2020-06-27 20:12:52:438,Hugo,normal,anomalous,"-"
1,6,Activity G,2020-06-27 21:07:20:668,Lourdes,normal,anomalous,"-"
1,7,Activity H,2020-06-27 21:37:35:621,Hoyt,normal,anomalous,"-"
1,8,Random activity 3,2020-06-27 22:09:14:883,Random user 64,normal,anomalous,"-"
1,9,Activity I,2020-06-27 23:00:28:256,Jack,normal,anomalous,"-"
1,10,Activity J,2020-06-27 23:45:23:814,Sonia,normal,anomalous,"-"
1,11,Activity F,2020-06-28 00:33:33:108,Howard,normal,anomalous,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:37:790,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:22:06:526,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:09:27:130,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:09:26:436,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 19:38:00:803,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 20:30:06:141,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:26:13:243,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:47:790,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:50:12:664,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:47:06:538,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:26:27:657,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:16:39:091,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:15:16:306,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 22:08:28:324,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:30:07:369,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:15:14:621,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 23:49:46:823,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:04:57:790,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:28:46:318,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:20:31:880,James,normal,normal,"-"
