case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:34:343,Sherlene,normal,anomalous,"-"
1,2,Activity B,2020-06-27 17:37:53:983,Earl,normal,anomalous,"-"
1,3,Activity C,2020-06-27 18:34:40:176,Brant,normal,anomalous,"-"
1,4,Activity D,2020-06-27 19:31:11:527,Lourdes,normal,anomalous,"-"
1,5,Activity E,2020-06-27 20:16:49:121,Hugo,normal,anomalous,"-"
1,6,Activity G,2020-06-27 21:08:58:846,Lourdes,normal,anomalous,"-"
1,7,Activity H,2020-06-27 21:40:08:831,Hoyt,normal,anomalous,"-"
1,8,Random activity 3,2020-06-27 22:35:34:839,Random user 64,normal,anomalous,"-"
1,9,Activity I,2020-06-27 23:28:44:720,Jack,normal,anomalous,"-"
1,10,Activity J,2020-06-28 00:27:49:665,Sonia,normal,anomalous,"-"
1,11,Activity F,2020-06-28 01:03:52:972,Howard,normal,anomalous,"-"
1,12,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:44:343,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:53:20:422,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:49:44:189,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:42:24:283,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:26:46:608,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:12:51:669,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:06:14:029,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:54:343,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 18:00:53:533,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:53:50:267,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:45:29:449,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:32:10:037,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:22:07:074,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:56:18:264,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:50:22:546,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:36:08:783,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:30:20:127,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:16:04:343,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:03:47:215,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:50:45:836,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:22:20:960,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:47:26:686,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:41:18:507,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 21:35:43:427,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 21:52:45:129,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 22:46:14:054,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:40:05:813,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:16:14:343,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 18:12:34:675,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 19:09:43:164,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:51:31:645,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:48:33:095,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:41:01:591,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 22:26:13:078,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 23:08:52:919,Sigrid,normal,normal,"-"
