case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:36:904,Sherlene,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,2,Activity B,2020-06-27 17:29:33:466,Earl,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,3,Activity C,2020-06-27 18:19:05:835,Brant,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,4,Activity D,2020-06-27 19:07:00:718,Lourdes,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,5,Activity E,2020-06-27 19:48:32:845,Hugo,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,6,Activity H,2020-06-27 20:34:29:469,Hoyt,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,7,Activity I,2020-06-27 21:07:51:704,Jack,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,8,Activity J,2020-06-27 21:36:14:665,Sonia,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,9,Activity F,2020-06-27 22:34:41:704,Howard,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,10,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:46:904,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 17:40:31:761,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 18:31:50:816,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:25:54:066,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:18:55:128,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:04:35:422,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 21:58:32:825,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:56:904,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:46:22:456,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:40:36:833,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:14:20:794,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 19:58:20:584,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 20:45:44:665,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:44:27:479,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:43:56:992,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:37:16:538,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:26:22:116,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:06:904,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 17:24:19:140,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 18:14:08:730,James,normal,normal,"-"
4,4,Activity D,2020-06-27 18:50:02:600,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 19:22:10:202,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 20:09:40:576,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 20:49:43:362,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 21:44:56:389,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 22:31:31:013,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 23:15:41:717,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:16:904,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 18:01:05:790,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:46:59:414,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:29:18:536,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:23:48:612,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:12:15:884,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:55:37:138,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:48:09:203,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 23:33:40:598,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-28 00:10:24:151,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:26:904,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:46:31:373,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:44:54:512,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:18:28:607,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 19:54:45:963,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 20:49:49:256,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:34:15:520,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:36:904,Sherlene,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,2,Activity B,2020-06-27 17:54:29:107,Doretta,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,3,Activity C,2020-06-27 18:40:39:253,Brant,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,4,Activity G,2020-06-27 19:39:14:666,Lourdes,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,5,Activity H,2020-06-27 20:25:17:738,Hoyt,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,6,Activity I,2020-06-27 21:13:37:917,Jack,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,7,Activity J,2020-06-27 22:10:22:395,Sonia,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,8,Activity F,2020-06-27 22:37:04:360,Howard,normal,anomalous,"{'size': 2, 'start': 3, 'skipped': [{'name': 'Activity D', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}, {'name': 'Activity E', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Hugo'}}]}"
7,9,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:05:46:904,Sherlene,normal,normal,"-"
8,2,Activity B,2020-06-27 17:54:15:576,Doretta,normal,normal,"-"
8,3,Activity C,2020-06-27 18:39:27:261,Brant,normal,normal,"-"
8,4,Activity D,2020-06-27 19:20:42:417,Lourdes,normal,normal,"-"
8,5,Activity E,2020-06-27 19:55:13:497,Paul,normal,normal,"-"
8,6,Activity T,2020-06-27 20:48:03:513,Ryan,normal,normal,"-"
8,7,Activity F,2020-06-27 21:27:43:712,Lisa,normal,normal,"-"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:05:56:904,Sherlene,normal,normal,"-"
9,2,Activity B,2020-06-27 17:53:24:776,Earl,normal,normal,"-"
9,3,Activity C,2020-06-27 18:44:10:599,James,normal,normal,"-"
9,4,Activity D,2020-06-27 19:37:08:958,Lourdes,normal,normal,"-"
9,5,Activity E,2020-06-27 20:02:06:492,Hugo,normal,normal,"-"
9,6,Activity G,2020-06-27 20:59:59:060,Elisha,normal,normal,"-"
9,7,Activity H,2020-06-27 21:58:50:222,Hoyt,normal,normal,"-"
9,8,Activity I,2020-06-27 22:16:21:815,Jack,normal,normal,"-"
9,9,Activity J,2020-06-27 23:13:55:807,Sonia,normal,normal,"-"
