case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:33:508,Sherlene,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,2,Activity B,2020-06-27 15:14:22:372,Earl,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,3,Activity C,2020-06-27 16:05:02:505,Brant,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,4,Activity D,2020-06-27 16:57:05:779,Lourdes,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,5,Activity E,2020-06-27 17:52:37:865,Hugo,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,6,Activity H,2020-06-27 18:45:49:636,Hoyt,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,7,Activity I,2020-06-27 19:27:51:032,Jack,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,8,Activity J,2020-06-27 20:09:34:473,Sonia,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,9,Activity F,2020-06-27 21:02:20:658,Howard,normal,anomalous,"{'size': 1, 'start': 5, 'skipped': [{'name': 'Activity G', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Lourdes'}}]}"
1,10,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:43:508,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 14:54:06:501,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 15:51:02:786,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 16:39:23:648,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:23:25:803,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:16:35:566,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 18:47:18:332,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:53:508,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 15:07:00:346,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:55:07:989,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:27:25:537,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:44:48:090,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:41:39:261,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:27:35:057,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:17:35:531,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 20:11:52:265,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:42:58:145,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:03:508,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 14:56:05:267,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 15:47:16:015,James,normal,normal,"-"
4,4,Activity D,2020-06-27 16:37:05:879,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:14:24:095,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:11:50:033,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 18:52:47:972,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 19:33:46:540,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 20:27:18:377,Keven,normal,normal,"-"
4,10,Activity F,2020-06-27 21:07:11:324,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:13:508,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 15:30:24:803,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 16:28:03:591,James,normal,normal,"-"
5,4,Activity D,2020-06-27 17:20:21:523,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 18:17:26:198,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 19:12:24:200,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 19:53:59:723,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 20:09:16:176,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 21:01:39:971,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 21:41:55:517,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:23:508,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 15:33:45:422,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 16:21:56:335,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 17:04:10:499,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 17:34:16:141,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 18:23:02:427,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 19:13:22:926,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
