case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:15:34:933,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 17:33:02:076,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 18:21:10:773,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 19:19:28:414,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 19:37:04:540,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 20:24:02:251,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 20:55:04:996,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 21:19:19:426,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 22:14:39:330,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 23:01:52:481,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:15:44:933,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 18:09:16:356,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 19:00:05:571,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 19:46:36:633,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 20:34:57:236,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 21:34:36:690,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 22:05:14:844,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:15:54:933,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 17:53:36:584,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 18:53:28:528,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 19:51:47:488,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 20:15:58:097,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 21:12:17:590,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 21:49:57:219,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 22:37:50:526,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 23:36:20:713,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-28 00:08:26:593,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:16:04:933,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 18:15:14:080,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 19:06:12:809,James,normal,normal,"-"
4,4,Activity D,2020-06-27 19:40:57:515,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 20:37:02:855,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 21:28:56:396,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 22:02:36:737,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 22:55:14:225,Sonia,normal,normal,"-"
4,9,Activity L,2020-06-27 23:50:48:036,Keven,normal,normal,"-"
4,10,Activity F,2020-06-28 00:20:51:687,Howard,normal,normal,"-"
4,11,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:16:14:933,Sherlene,normal,normal,"-"
5,2,Activity B,2020-06-27 17:59:00:283,Doretta,normal,normal,"-"
5,3,Activity C,2020-06-27 18:52:41:391,James,normal,normal,"-"
5,4,Activity D,2020-06-27 19:24:16:336,Lourdes,normal,normal,"-"
5,5,Activity E,2020-06-27 20:12:15:922,Gema,normal,normal,"-"
5,6,Activity K,2020-06-27 21:06:00:012,Melany,normal,normal,"-"
5,7,Activity O,2020-06-27 21:44:11:559,Melany,normal,normal,"-"
5,8,Activity P,2020-06-27 22:08:16:547,Sigrid,normal,normal,"-"
5,9,Activity L,2020-06-27 22:58:14:178,Amanda,normal,normal,"-"
5,10,Activity F,2020-06-27 23:38:05:569,Emily,normal,normal,"-"
5,11,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:16:24:933,Sherlene,normal,normal,"-"
6,2,Activity B,2020-06-27 17:48:09:806,Doretta,normal,normal,"-"
6,3,Activity C,2020-06-27 18:37:56:048,Brant,normal,normal,"-"
6,4,Activity D,2020-06-27 19:34:18:461,Lourdes,normal,normal,"-"
6,5,Activity E,2020-06-27 20:12:58:638,Paul,normal,normal,"-"
6,6,Activity T,2020-06-27 21:03:15:023,Ryan,normal,normal,"-"
6,7,Activity F,2020-06-27 21:48:23:361,Lisa,normal,normal,"-"
6,8,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:16:34:933,Sherlene,normal,normal,"-"
7,2,Activity B,2020-06-27 17:47:41:451,Doretta,normal,normal,"-"
7,3,Activity C,2020-06-27 18:47:40:832,Brant,normal,normal,"-"
7,4,Activity D,2020-06-27 19:35:54:250,Lourdes,normal,normal,"-"
