case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:27:883,Sherlene,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,2,Activity B,2020-06-27 15:09:33:203,Earl,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,3,Activity C,2020-06-27 15:57:41:758,Brant,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,4,Activity D,2020-06-27 16:43:03:012,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,5,Activity E,2020-06-27 17:00:29:919,Steve,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,6,Activity G,2020-06-27 17:51:35:780,Lourdes,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,7,Activity H,2020-06-27 18:49:00:836,Hoyt,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,8,Activity I,2020-06-27 19:08:27:552,Frances,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,9,Activity J,2020-06-27 20:07:28:160,Sonia,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,10,Activity F,2020-06-27 20:51:08:547,Howard,normal,anomalous,"{'index': [4, 7], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Hugo', 'Jack']}"
1,11,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:37:883,Sherlene,normal,normal,"-"
2,2,Activity B,2020-06-27 15:18:49:658,Doretta,normal,normal,"-"
2,3,Activity C,2020-06-27 16:18:24:974,Brant,normal,normal,"-"
2,4,Activity D,2020-06-27 17:00:58:252,Lourdes,normal,normal,"-"
2,5,Activity E,2020-06-27 17:54:18:138,Paul,normal,normal,"-"
2,6,Activity T,2020-06-27 18:53:06:877,Ryan,normal,normal,"-"
2,7,Activity F,2020-06-27 19:27:28:885,Lisa,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:47:883,Sherlene,normal,normal,"-"
3,2,Activity B,2020-06-27 14:49:29:277,Earl,normal,normal,"-"
3,3,Activity C,2020-06-27 15:35:57:591,Brant,normal,normal,"-"
3,4,Activity D,2020-06-27 16:09:08:256,Lourdes,normal,normal,"-"
3,5,Activity E,2020-06-27 16:42:22:807,Tiffiny,normal,normal,"-"
3,6,Activity K,2020-06-27 17:33:13:368,Melany,normal,normal,"-"
3,7,Activity O,2020-06-27 18:24:46:113,Melany,normal,normal,"-"
3,8,Activity P,2020-06-27 19:02:13:145,Jimmy,normal,normal,"-"
3,9,Activity L,2020-06-27 19:58:05:106,Amanda,normal,normal,"-"
3,10,Activity F,2020-06-27 20:43:33:340,Emily,normal,normal,"-"
3,11,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:33:57:883,Sherlene,normal,normal,"-"
4,2,Activity B,2020-06-27 15:33:54:613,Doretta,normal,normal,"-"
4,3,Activity C,2020-06-27 16:19:28:145,James,normal,normal,"-"
4,4,Activity D,2020-06-27 17:18:19:338,Lourdes,normal,normal,"-"
4,5,Activity E,2020-06-27 17:35:05:308,Tiffiny,normal,normal,"-"
4,6,Activity K,2020-06-27 18:25:21:311,Pam,normal,normal,"-"
4,7,Activity M,2020-06-27 19:11:44:763,Issac,normal,normal,"-"
4,8,Activity N,2020-06-27 20:02:14:498,Sonia,normal,normal,"-"
