case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:33:34:664,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:50:56:607,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:49:33:993,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:23:59:498,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 17:14:47:363,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 18:09:15:624,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:33:44:664,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 15:16:19:751,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 16:02:05:288,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:51:30:859,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:30:46:649,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 18:29:06:448,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 19:12:33:153,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:33:54:664,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 15:12:51:532,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 16:05:27:360,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:51:51:472,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:39:31:547,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:27:06:044,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:34:04:664,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 15:11:02:151,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 15:58:12:381,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 16:42:06:067,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 17:20:00:235,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 18:19:43:446,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 18:58:00:523,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:34:14:664,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 15:13:32:326,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 16:13:16:683,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 16:43:32:194,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 17:09:31:564,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 18:03:40:931,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:34:24:664,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 15:20:16:741,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 16:08:42:721,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 17:01:25:152,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 17:38:46:353,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 18:30:15:528,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
