case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:28:140,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:49:43:295,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:46:29:292,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 19:42:55:507,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 20:41:53:470,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 21:38:36:247,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:38:140,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:57:23:965,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:43:53:516,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:28:02:145,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 19:45:50:518,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 20:34:21:423,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:25:27:301,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:48:140,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:53:49:873,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:40:17:867,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:17:50:460,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 20:01:07:792,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:59:46:343,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:04:58:140,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:44:34:319,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:39:13:810,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:17:24:303,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 20:04:14:353,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:49:40:248,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:42:25:434,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:08:140,Alyce,normal,normal,"-"
