case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:35:729,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:35:40:393,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:21:37:840,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:58:44:052,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:15:15:329,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:02:04:444,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:45:729,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:47:08:018,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:35:03:613,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:30:18:014,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:06:41:326,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:01:54:224,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 21:43:27:721,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:55:729,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:50:11:513,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:43:49:204,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 19:15:26:337,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:51:42:373,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:47:22:696,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:05:729,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:30:12:747,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:17:21:932,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 18:54:27:760,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:25:50:576,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:15:42:949,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 20:50:32:189,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
