case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:04:34:635,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 17:28:21:780,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 18:14:18:352,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 18:53:01:308,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 19:25:33:658,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 20:24:59:255,Deloras,normal,normal,"-"
1,7,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 17:04:44:635,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 17:50:19:495,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 18:38:51:475,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 19:32:59:897,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 20:29:03:071,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 21:14:38:559,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 22:03:36:371,Grayce,normal,normal,"-"
2,8,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:04:54:635,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 17:26:56:488,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 18:13:05:662,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 18:55:08:087,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 19:50:40:887,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 20:36:40:475,Brian,normal,normal,"-"
3,7,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:05:04:635,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 17:26:50:473,Brant,normal,normal,"-"
4,3,Activity R,2020-06-27 18:13:21:513,Sherell,normal,normal,"-"
4,4,Activity U,2020-06-27 19:02:13:701,Ling,normal,normal,"-"
4,5,Activity S,2020-06-27 19:52:29:002,Vickie,normal,normal,"-"
4,6,Activity O,2020-06-27 20:42:43:016,Lucy,normal,normal,"-"
4,7,Activity B,2020-06-27 21:38:47:025,Melany,normal,normal,"-"
4,8,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:05:14:635,Alyce,normal,normal,"-"
5,2,Activity N,2020-06-27 18:03:23:621,Brant,normal,normal,"-"
5,3,Activity AG,2020-06-27 18:49:24:766,Sandra,normal,normal,"-"
5,4,Activity AH,2020-06-27 19:25:52:320,Jamika,normal,normal,"-"
5,5,Activity O,2020-06-27 19:48:52:195,Howard,normal,normal,"-"
5,6,Activity B,2020-06-27 20:42:18:970,Deloras,normal,normal,"-"
5,7,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:05:24:635,Della,normal,normal,"-"
6,2,Activity N,2020-06-27 17:44:28:469,Roy,normal,normal,"-"
6,3,Activity AE,2020-06-27 18:38:47:277,Hoyt,normal,normal,"-"
6,4,Activity AF,2020-06-27 19:32:22:777,Rossie,normal,normal,"-"
6,5,Activity O,2020-06-27 20:00:45:412,Jamika,normal,normal,"-"
6,6,Activity B,2020-06-27 20:46:56:702,Gema,normal,normal,"-"
6,7,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 17:05:34:635,Della,normal,normal,"-"
7,2,Activity N,2020-06-27 17:32:54:700,Hassie,normal,normal,"-"
7,3,Activity AG,2020-06-27 18:18:05:872,Sandra,normal,normal,"-"
7,4,Activity AH,2020-06-27 19:13:38:734,Jamika,normal,normal,"-"
