case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:02:57:429,Della,normal,normal,"-"
1,2,Activity N,2020-06-27 14:41:17:231,Roy,normal,normal,"-"
1,3,Activity AE,2020-06-27 15:37:52:713,Hoyt,normal,normal,"-"
1,4,Activity AF,2020-06-27 16:10:11:980,Rossie,normal,normal,"-"
1,5,Activity O,2020-06-27 16:58:33:001,Junior,normal,normal,"-"
1,6,Activity B,2020-06-27 17:56:12:023,Deloras,normal,normal,"-"
1,7,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:03:07:429,Alyce,normal,normal,"-"
2,2,Activity N,2020-06-27 14:49:20:496,Wilton,normal,normal,"-"
2,3,Activity Y,2020-06-27 15:46:56:919,Lourdes,normal,normal,"-"
2,4,Activity AD,2020-06-27 16:40:02:317,Brant,normal,normal,"-"
2,5,Activity Z,2020-06-27 17:01:17:005,Michaele,normal,normal,"-"
2,6,Activity O,2020-06-27 17:59:53:291,Keven,normal,normal,"-"
2,7,Activity B,2020-06-27 18:37:53:246,Grayce,normal,normal,"-"
2,8,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:03:17:429,Della,normal,normal,"-"
3,2,Activity N,2020-06-27 14:51:01:722,Earl,normal,normal,"-"
3,3,Activity P,2020-06-27 15:43:27:526,Emily,normal,normal,"-"
3,4,Activity Q,2020-06-27 16:29:11:455,Della,normal,normal,"-"
3,5,Activity O,2020-06-27 17:13:43:987,Charles,normal,normal,"-"
3,6,Activity B,2020-06-27 18:10:41:368,Brian,normal,normal,"-"
3,7,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:03:27:429,Della,normal,normal,"-"
4,2,Activity N,2020-06-27 14:26:00:856,Brant,normal,normal,"-"
