case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:53:132,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:23:06:773,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:09:32:181,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:01:39:870,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 18:01:03:138,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:52:39:170,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:51:19:048,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity A,2020-06-27 14:37:03:132,Joe,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,2,Activity BC,2020-06-27 15:29:20:638,Paul,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,3,Activity B,2020-06-27 16:17:23:760,Michaele,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:13:132,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:52:37:166,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:46:38:123,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:23:132,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:58:32:565,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:51:16:473,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:33:132,Pam,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,2,Activity BZ,2020-06-27 15:17:55:198,Elisha,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,3,Activity B,2020-06-27 16:12:06:821,Elisha,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:43:132,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:56:32:216,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:50:36:897,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity A,2020-06-27 14:37:53:132,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 15:27:01:728,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 16:15:44:448,Tiffiny,normal,normal,"-"
7,4,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 14:38:03:132,Amanda,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,2,Activity C,2020-06-27 15:08:10:629,Lisa,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,3,Activity E,2020-06-27 16:02:28:572,Donald,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,4,Activity F,2020-06-27 16:50:49:450,Howard,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,5,Activity D,2020-06-27 17:48:32:002,Johnny,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,6,Activity S,2020-06-27 18:45:13:784,Hoyt,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,7,Activity B,2020-06-27 19:25:46:575,Tiffiny,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,8,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 14:38:13:132,Micheline,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,2,Activity T,2020-06-27 15:32:08:552,Sharee,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,3,Activity AC,2020-06-27 16:20:44:597,Chan,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,4,Activity AE,2020-06-27 17:19:40:535,Amanda,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,5,Activity AD,2020-06-27 17:48:03:275,Emily,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,6,Activity U,2020-06-27 18:45:51:519,Hannah,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,7,Activity B,2020-06-27 19:16:45:382,Ronald,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Steve', 'Lucy']}"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 14:38:23:132,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 15:05:18:543,Seth,normal,normal,"-"
10,3,Activity L,2020-06-27 15:58:13:874,Pam,normal,normal,"-"
10,4,Activity N,2020-06-27 16:44:04:966,Paul,normal,normal,"-"
10,5,Activity M,2020-06-27 17:21:48:558,Jack,normal,normal,"-"
10,6,Activity D,2020-06-27 18:16:14:539,Sandra,normal,normal,"-"
10,7,Activity S,2020-06-27 18:47:49:934,Gema,normal,normal,"-"
10,8,Activity B,2020-06-27 19:40:27:982,Ronald,normal,normal,"-"
10,9,■,,,,,""
11,0,▶,,,,,""
11,1,Activity A,2020-06-27 14:38:33:132,Amanda,normal,normal,"-"
11,2,Activity C,2020-06-27 15:22:33:296,Vickie,normal,normal,"-"
11,3,Activity L,2020-06-27 16:15:07:473,Lisa,normal,normal,"-"
11,4,Activity O,2020-06-27 16:58:11:240,Johnny,normal,normal,"-"
11,5,Activity M,2020-06-27 17:50:26:830,Maryellen,normal,normal,"-"
11,6,Activity D,2020-06-27 18:35:55:067,Shandi,normal,normal,"-"
11,7,Activity S,2020-06-27 19:15:12:082,Brian,normal,normal,"-"
11,8,Activity B,2020-06-27 20:12:34:277,Ronald,normal,normal,"-"
