case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:19:719,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:53:06:377,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:48:30:941,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:30:56:946,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:55:49:011,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:52:51:271,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:32:21:795,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity A,2020-06-27 14:10:29:719,Joe,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,2,Activity BC,2020-06-27 14:31:34:363,Paul,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,3,Activity B,2020-06-27 15:30:40:048,Michaele,normal,anomalous,"{'index': [1, 2], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Micheline', 'Deloras']}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity A,2020-06-27 14:10:39:719,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 14:43:38:500,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 15:35:10:529,Steve,normal,normal,"-"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:49:719,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 14:55:25:550,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:52:40:618,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity A,2020-06-27 14:10:59:719,Pam,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,2,Activity BZ,2020-06-27 14:46:01:528,Elisha,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,3,Activity B,2020-06-27 15:44:50:731,Elisha,normal,anomalous,"{'index': [0, 1], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Sharee', 'Issac']}"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:09:719,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:48:29:563,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:38:40:585,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:11:19:719,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:30:01:728,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:18:14:498,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:29:719,Amanda,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
8,2,Activity C,2020-06-27 14:43:33:744,Lisa,normal,anomalous,"{'index': [3, 4], 'attribute_index': [0, 0], 'attribute': ['user', 'user'], 'original': ['Keven', 'James']}"
