case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,-,-,-,-,"-"
1,1,Activity A,2020-06-27 14:10:18:834,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 14:49:35:401,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 15:38:26:341,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 16:10:59:462,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 16:45:02:393,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 17:31:10:750,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 18:21:13:974,Rossie,normal,normal,"-"
1,8,■,-,-,-,-,"-"
2,0,▶,-,-,-,-,"-"
2,1,Activity BC,2020-06-27 14:10:28:834,Micheline,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,2,Activity A,2020-06-27 14:33:38:955,Joe,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,3,Activity B,2020-06-27 15:30:02:090,Deloras,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
2,4,■,-,-,-,-,"-"
3,0,▶,-,-,-,-,"-"
3,1,Activity BZ,2020-06-27 14:10:38:834,Frances,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,2,Activity A,2020-06-27 14:29:45:303,Sharee,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,3,Activity B,2020-06-27 15:22:18:681,Steve,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
3,4,■,-,-,-,-,"-"
4,0,▶,-,-,-,-,"-"
4,1,Activity A,2020-06-27 14:10:48:834,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:00:03:785,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 15:56:58:813,Tiffiny,normal,normal,"-"
4,4,■,-,-,-,-,"-"
5,0,▶,-,-,-,-,"-"
5,1,Activity BZ,2020-06-27 14:10:58:834,Issac,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
5,2,Activity A,2020-06-27 14:49:19:843,Sharee,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
5,3,Activity B,2020-06-27 15:41:04:242,Elisha,normal,anomalous,"{'shift_from': 0, 'shift_to': 1, 'size': 1}"
5,4,■,-,-,-,-,"-"
6,0,▶,-,-,-,-,"-"
6,1,Activity A,2020-06-27 14:11:08:834,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 14:48:11:008,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:35:27:404,Tiffiny,normal,normal,"-"
6,4,■,-,-,-,-,"-"
7,0,▶,-,-,-,-,"-"
7,1,Activity A,2020-06-27 14:11:18:834,Carmella,normal,normal,"-"
7,2,Activity BC,2020-06-27 14:35:19:662,Micheline,normal,normal,"-"
7,3,Activity B,2020-06-27 15:24:46:696,Tiffiny,normal,normal,"-"
7,4,■,-,-,-,-,"-"
8,0,▶,-,-,-,-,"-"
8,1,Activity A,2020-06-27 14:11:28:834,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,2,Activity E,2020-06-27 15:03:16:794,Donald,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,3,Activity C,2020-06-27 15:49:24:864,Lisa,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,4,Activity F,2020-06-27 16:32:14:227,Keven,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,5,Activity D,2020-06-27 16:51:18:725,James,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,6,Activity S,2020-06-27 17:42:30:969,Hoyt,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,7,Activity B,2020-06-27 18:25:27:052,Tiffiny,normal,anomalous,"{'shift_from': 1, 'shift_to': 2, 'size': 1}"
8,8,■,-,-,-,-,"-"
9,0,▶,-,-,-,-,"-"
9,1,Activity A,2020-06-27 14:11:38:834,Micheline,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,2,Activity AC,2020-06-27 14:45:10:849,Lucy,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,3,Activity AE,2020-06-27 15:30:30:876,Amanda,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,4,Activity AD,2020-06-27 16:28:10:033,Emily,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,5,Activity T,2020-06-27 17:01:05:693,Steve,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,6,Activity U,2020-06-27 17:50:21:485,Hannah,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,7,Activity B,2020-06-27 18:42:04:802,Ronald,normal,anomalous,"{'shift_from': 1, 'shift_to': 4, 'size': 1}"
9,8,■,-,-,-,-,"-"
10,0,▶,-,-,-,-,"-"
10,1,Activity L,2020-06-27 14:11:48:834,Pam,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,2,Activity N,2020-06-27 14:46:45:093,Paul,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,3,Activity A,2020-06-27 15:39:29:100,Doretta,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,4,Activity C,2020-06-27 16:36:28:894,Seth,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
10,5,Activity M,2020-06-27 17:20:45:727,Jack,normal,anomalous,"{'shift_from': 0, 'shift_to': 2, 'size': 2}"
