case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 17:07:56:739,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 17:57:24:762,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 18:42:41:599,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 19:34:56:229,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 20:16:20:501,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 21:05:51:333,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 22:00:33:102,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 17:08:06:739,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 17:24:26:373,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 18:20:40:835,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 17:08:16:739,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 18:04:22:007,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 18:58:36:675,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 17:08:26:739,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 17:24:36:693,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 18:12:36:393,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 17:08:36:739,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 18:05:16:319,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 18:50:36:809,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 17:08:46:739,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 17:32:52:017,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 18:20:03:643,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity BC,2020-06-27 17:08:56:739,Micheline,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
7,2,Activity B,2020-06-27 18:01:14:067,Tiffiny,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
7,3,■,,,,,""
8,0,▶,,,,,""
8,1,Activity A,2020-06-27 17:09:06:739,Amanda,normal,anomalous,"-"
8,2,Activity C,2020-06-27 18:05:32:655,Lisa,normal,anomalous,"-"
8,3,Activity E,2020-06-27 18:54:35:116,Donald,normal,anomalous,"-"
8,4,Random activity 74,2020-06-27 19:45:09:269,Random user 22,normal,anomalous,"-"
8,5,Activity F,2020-06-27 20:34:21:291,Keven,normal,anomalous,"-"
8,6,Activity D,2020-06-27 21:21:13:600,James,normal,anomalous,"-"
8,7,Activity S,2020-06-27 22:05:32:396,Hoyt,normal,anomalous,"-"
8,8,Activity B,2020-06-27 22:56:47:755,Tiffiny,normal,anomalous,"-"
8,9,■,,,,,""
9,0,▶,,,,,""
9,1,Activity A,2020-06-27 17:09:16:739,Micheline,normal,normal,"-"
9,2,Activity T,2020-06-27 18:08:16:645,Steve,normal,normal,"-"
9,3,Activity AC,2020-06-27 18:55:33:264,Lucy,normal,normal,"-"
9,4,Activity AE,2020-06-27 19:45:13:945,Amanda,normal,normal,"-"
9,5,Activity AD,2020-06-27 20:29:26:051,Emily,normal,normal,"-"
9,6,Activity U,2020-06-27 21:21:52:807,Hannah,normal,normal,"-"
9,7,Activity B,2020-06-27 21:56:27:845,Ronald,normal,normal,"-"
9,8,■,,,,,""
10,0,▶,,,,,""
10,1,Activity A,2020-06-27 17:09:26:739,Doretta,normal,normal,"-"
10,2,Activity C,2020-06-27 17:49:16:676,Seth,normal,normal,"-"
