case_id,event_position,activity_name,timestamp,user,case,label,anomaly_type
1,0,▶,,,,,""
1,1,Activity A,2020-06-27 14:36:45:157,Micheline,normal,normal,"-"
1,2,Activity T,2020-06-27 15:31:38:238,Steve,normal,normal,"-"
1,3,Activity AC,2020-06-27 16:22:14:958,Ling,normal,normal,"-"
1,4,Activity AE,2020-06-27 17:06:18:805,Amanda,normal,normal,"-"
1,5,Activity AD,2020-06-27 17:48:43:993,Emily,normal,normal,"-"
1,6,Activity U,2020-06-27 18:42:15:736,Junior,normal,normal,"-"
1,7,Activity B,2020-06-27 19:22:28:876,Rossie,normal,normal,"-"
1,8,■,,,,,""
2,0,▶,,,,,""
2,1,Activity BC,2020-06-27 14:36:55:157,Micheline,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,2,Activity A,2020-06-27 14:53:19:358,Joe,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,3,Activity B,2020-06-27 15:41:00:193,Deloras,normal,anomalous,"{'shift_from': 2, 'shift_to': 0, 'size': 1}"
2,4,■,,,,,""
3,0,▶,,,,,""
3,1,Activity A,2020-06-27 14:37:05:157,Sharee,normal,normal,"-"
3,2,Activity BZ,2020-06-27 15:33:53:272,Frances,normal,normal,"-"
3,3,Activity B,2020-06-27 16:20:01:663,Steve,normal,normal,"-"
3,4,■,,,,,""
4,0,▶,,,,,""
4,1,Activity A,2020-06-27 14:37:15:157,Seth,normal,normal,"-"
4,2,Activity BC,2020-06-27 15:26:56:972,Micheline,normal,normal,"-"
4,3,Activity B,2020-06-27 16:18:02:064,Tiffiny,normal,normal,"-"
4,4,■,,,,,""
5,0,▶,,,,,""
5,1,Activity A,2020-06-27 14:37:25:157,Sharee,normal,normal,"-"
5,2,Activity BZ,2020-06-27 14:57:26:947,Issac,normal,normal,"-"
5,3,Activity B,2020-06-27 15:56:01:049,Elisha,normal,normal,"-"
5,4,■,,,,,""
6,0,▶,,,,,""
6,1,Activity A,2020-06-27 14:37:35:157,Joe,normal,normal,"-"
6,2,Activity BC,2020-06-27 15:02:35:562,Micheline,normal,normal,"-"
6,3,Activity B,2020-06-27 15:55:01:996,Tiffiny,normal,normal,"-"
6,4,■,,,,,""
7,0,▶,,,,,""
7,1,Activity BC,2020-06-27 14:37:45:157,Micheline,normal,anomalous,"{'size': 1, 'start': 0, 'skipped': [{'name': 'Activity A', 'timestamp': None, 'timestamp_end': None, 'attributes': {'user': 'Carmella'}}]}"
